is_ready_flag,Not_Ready_count,Delay_between_requests,Times_of_readings_per_measure,Measure_value,total_time_measure(ms),average_time_measure(ms),
NR:5,   Dly:2,  i:12,   R:29,   T:121.2840,     TA:10.1070
NR:5,   Dly:2,  i:13,   R:7,    T:133.1730,     TA:10.2441
NR:5,   Dly:2,  i:13,   R:16,   T:133.0580,     TA:10.2352
NR:5,   Dly:2,  i:13,   R:13,   T:132.9420,     TA:10.2263
NR:5,   Dly:2,  i:14,   R:20,   T:143.9690,     TA:10.2835
NR:5,   Dly:2,  i:14,   R:16,   T:144.0030,     TA:10.2859
NR:5,   Dly:2,  i:14,   R:21,   T:144.0360,     TA:10.2883
NR:5,   Dly:2,  i:15,   R:15,   T:155.2120,     TA:10.3475
NR:5,   Dly:2,  i:15,   R:16,   T:155.3880,     TA:10.3592
NR:5,   Dly:2,  i:15,   R:35,   T:155.5650,     TA:10.3710

NR:0,   Dly:4,  i:1,    R:38,   T:0.0360,       TA:0.0360
NR:0,   Dly:4,  i:1,    R:33,   T:0.0360,       TA:0.0360
NR:1,   Dly:4,  i:1,    R:-3,   T:0.0360,       TA:0.0360
NR:2,   Dly:4,  i:2,    R:25,   T:10.0690,      TA:5.0345
NR:2,   Dly:4,  i:2,    R:23,   T:10.3610,      TA:5.1805
NR:2,   Dly:4,  i:2,    R:7,    T:10.6480,      TA:5.3240
NR:2,   Dly:4,  i:3,    R:-16,  T:21.0850,      TA:7.0283
NR:2,   Dly:4,  i:3,    R:26,   T:21.5210,      TA:7.1737
NR:2,   Dly:4,  i:3,    R:9,    T:20.9530,      TA:6.9843
NR:2,   Dly:4,  i:4,    R:16,   T:32.5320,      TA:8.1330
NR:2,   Dly:4,  i:4,    R:2,    T:32.1130,      TA:8.0282
NR:2,   Dly:4,  i:4,    R:28,   T:32.6970,      TA:8.1742
NR:2,   Dly:4,  i:5,    R:25,   T:43.4210,      TA:8.6842
NR:2,   Dly:4,  i:5,    R:17,   T:44.1460,      TA:8.8292
NR:2,   Dly:4,  i:5,    R:30,   T:43.8680,      TA:8.7736
NR:2,   Dly:4,  i:6,    R:23,   T:54.7410,      TA:9.1235
NR:2,   Dly:4,  i:6,    R:18,   T:54.6140,      TA:9.1023
NR:2,   Dly:4,  i:6,    R:5,    T:54.4820,      TA:9.0803
NR:2,   Dly:4,  i:7,    R:40,   T:65.4990,      TA:9.3570
NR:2,   Dly:4,  i:7,    R:20,   T:65.5150,      TA:9.3593
NR:2,   Dly:4,  i:7,    R:33,   T:65.5260,      TA:9.3609
NR:2,   Dly:4,  i:8,    R:15,   T:76.6860,      TA:9.5857
NR:2,   Dly:4,  i:8,    R:7,    T:76.8460,      TA:9.6058
NR:2,   Dly:4,  i:8,    R:1,    T:77.0030,      TA:9.6254
NR:2,   Dly:4,  i:9,    R:6,    T:88.3060,      TA:9.8118
NR:2,   Dly:4,  i:9,    R:15,   T:88.6090,      TA:9.8454
NR:2,   Dly:4,  i:9,    R:13,   T:87.9200,      TA:9.7689
NR:2,   Dly:4,  i:10,   R:22,   T:99.3610,      TA:9.9361
NR:2,   Dly:4,  i:10,   R:16,   T:99.8130,      TA:9.9813
NR:2,   Dly:4,  i:10,   R:16,   T:99.2670,      TA:9.9267
NR:2,   Dly:4,  i:11,   R:25,   T:110.8570,     TA:10.0779
NR:2,   Dly:4,  i:11,   R:15,   T:110.4550,     TA:10.0414
NR:2,   Dly:4,  i:11,   R:6,    T:110.0470,     TA:10.0043
NR:2,   Dly:4,  i:12,   R:23,   T:121.7870,     TA:10.1489
NR:2,   Dly:4,  i:12,   R:37,   T:121.5260,     TA:10.1272
NR:2,   Dly:4,  i:12,   R:29,   T:121.2670,     TA:10.1056
NR:2,   Dly:4,  i:13,   R:16,   T:133.1570,     TA:10.2428
NR:2,   Dly:4,  i:13,   R:13,   T:133.0410,     TA:10.2339
NR:2,   Dly:4,  i:13,   R:31,   T:132.9330,     TA:10.2256
NR:2,   Dly:4,  i:14,   R:17,   T:143.9640,     TA:10.2831
NR:2,   Dly:4,  i:14,   R:6,    T:143.9970,     TA:10.2855
NR:2,   Dly:4,  i:14,   R:23,   T:144.0360,     TA:10.2883
NR:2,   Dly:4,  i:15,   R:22,   T:155.2180,     TA:10.3479
NR:2,   Dly:4,  i:15,   R:16,   T:155.3990,     TA:10.3599
NR:2,   Dly:4,  i:15,   R:10,   T:155.5760,     TA:10.3717

NR:0,   Dly:8,  i:1,    R:53,   T:0.0360,       TA:0.0360
NR:1,   Dly:8,  i:1,    R:29,   T:0.0360,       TA:0.0360
NR:0,   Dly:8,  i:1,    R:-19,  T:0.0360,       TA:0.0360
NR:1,   Dly:8,  i:2,    R:0,    T:3.4280,       TA:1.7140
NR:1,   Dly:8,  i:2,    R:28,   T:6.7190,       TA:3.3595
NR:1,   Dly:8,  i:2,    R:51,   T:6.0190,       TA:3.0095
NR:1,   Dly:8,  i:3,    R:45,   T:17.4600,      TA:5.8200
NR:1,   Dly:8,  i:3,    R:18,   T:16.9090,      TA:5.6363
NR:1,   Dly:8,  i:3,    R:-3,   T:17.3440,      TA:5.7813
NR:1,   Dly:8,  i:4,    R:31,   T:28.9330,      TA:7.2333
NR:1,   Dly:8,  i:4,    R:37,   T:28.5260,      TA:7.1315
NR:1,   Dly:8,  i:4,    R:30,   T:28.1130,      TA:7.0283
NR:1,   Dly:8,  i:5,    R:22,   T:39.8520,      TA:7.9704
NR:1,   Dly:8,  i:5,    R:17,   T:39.5760,      TA:7.9152
NR:1,   Dly:8,  i:5,    R:43,   T:39.3060,      TA:7.8612
NR:1,   Dly:8,  i:6,    R:25,   T:51.1790,      TA:8.5298
NR:1,   Dly:8,  i:6,    R:6,    T:51.0470,      TA:8.5078
NR:1,   Dly:8,  i:6,    R:21,   T:50.9310,      TA:8.4885
NR:1,   Dly:8,  i:7,    R:10,   T:61.9360,      TA:8.8480
NR:1,   Dly:8,  i:7,    R:15,   T:61.9590,      TA:8.8513
NR:1,   Dly:8,  i:7,    R:15,   T:61.9750,      TA:8.8536
NR:1,   Dly:8,  i:8,    R:23,   T:73.1350,      TA:9.1419
NR:1,   Dly:8,  i:8,    R:24,   T:73.3000,      TA:9.1625
NR:1,   Dly:8,  i:8,    R:39,   T:73.4600,      TA:9.1825
NR:1,   Dly:8,  i:9,    R:27,   T:83.7740,      TA:9.3082
NR:1,   Dly:8,  i:9,    R:37,   T:84.0800,      TA:9.3422
NR:1,   Dly:8,  i:9,    R:18,   T:84.3890,      TA:9.3766
NR:1,   Dly:8,  i:10,   R:27,   T:95.8410,      TA:9.5841
NR:1,   Dly:8,  i:10,   R:17,   T:95.2950,      TA:9.5295
NR:1,   Dly:8,  i:10,   R:41,   T:95.7540,      TA:9.5754
NR:1,   Dly:8,  i:11,   R:17,   T:106.3550,     TA:9.6686
NR:1,   Dly:8,  i:11,   R:16,   T:106.9530,     TA:9.7230
NR:1,   Dly:8,  i:11,   R:26,   T:106.5540,     TA:9.6867
NR:1,   Dly:8,  i:12,   R:27,   T:117.3000,     TA:9.7750
NR:1,   Dly:8,  i:12,   R:26,   T:118.0470,     TA:9.8372
NR:1,   Dly:8,  i:12,   R:34,   T:117.7870,     TA:9.8156
NR:1,   Dly:8,  i:13,   R:25,   T:128.6750,     TA:9.8981
NR:1,   Dly:8,  i:13,   R:30,   T:128.5590,     TA:9.8892
NR:1,   Dly:8,  i:13,   R:16,   T:128.4550,     TA:9.8812
NR:1,   Dly:8,  i:14,   R:31,   T:139.4930,     TA:9.9638
NR:1,   Dly:8,  i:14,   R:23,   T:139.5320,     TA:9.9666
NR:1,   Dly:8,  i:14,   R:33,   T:139.5700,     TA:9.9693
NR:1,   Dly:8,  i:15,   R:19,   T:150.7540,     TA:10.0503
NR:1,   Dly:8,  i:15,   R:29,   T:150.9360,     TA:10.0624
NR:1,   Dly:8,  i:15,   R:32,   T:151.1180,     TA:10.0745

NR:0,   Dly:16, i:1,    R:22,   T:0.0370,       TA:0.0370
NR:0,   Dly:16, i:1,    R:31,   T:0.0370,       TA:0.0370
NR:0,   Dly:16, i:1,    R:38,   T:0.0370,       TA:0.0370
NR:0,   Dly:16, i:2,    R:16,   T:2.9390,       TA:1.4695
NR:0,   Dly:16, i:2,    R:59,   T:6.2310,       TA:3.1155
NR:0,   Dly:16, i:2,    R:0,    T:6.5230,       TA:3.2615
NR:0,   Dly:16, i:3,    R:21,   T:16.9570,      TA:5.6523
NR:0,   Dly:16, i:3,    R:21,   T:17.3930,      TA:5.7977
NR:0,   Dly:16, i:3,    R:11,   T:17.8290,      TA:5.9430
NR:0,   Dly:16, i:4,    R:9,    T:28.4100,      TA:7.1025
NR:0,   Dly:16, i:4,    R:34,   T:28.9960,      TA:7.2490
NR:0,   Dly:16, i:4,    R:-3,   T:28.5750,      TA:7.1438
NR:0,   Dly:16, i:5,    R:26,   T:39.3050,      TA:7.8610
NR:0,   Dly:16, i:5,    R:13,   T:40.0350,      TA:8.0070
NR:0,   Dly:16, i:5,    R:18,   T:39.7580,      TA:7.9516
NR:0,   Dly:16, i:6,    R:18,   T:50.6300,      TA:8.4383
NR:0,   Dly:16, i:6,    R:22,   T:50.5030,      TA:8.4172
NR:0,   Dly:16, i:6,    R:32,   T:50.3710,      TA:8.3952
NR:0,   Dly:16, i:7,    R:12,   T:62.3930,      TA:8.9133
NR:0,   Dly:16, i:7,    R:31,   T:62.4090,      TA:8.9156
NR:0,   Dly:16, i:7,    R:30,   T:62.4310,      TA:8.9187
NR:0,   Dly:16, i:8,    R:19,   T:72.5910,      TA:9.0739
NR:0,   Dly:16, i:8,    R:31,   T:72.7530,      TA:9.0941
NR:0,   Dly:16, i:8,    R:43,   T:72.9240,      TA:9.1155
NR:0,   Dly:16, i:9,    R:19,   T:84.2220,      TA:9.3580
NR:0,   Dly:16, i:9,    R:28,   T:84.5310,      TA:9.3923
NR:0,   Dly:16, i:9,    R:16,   T:83.8400,      TA:9.3156
NR:0,   Dly:16, i:10,   R:39,   T:95.2940,      TA:9.5294
NR:0,   Dly:16, i:10,   R:23,   T:95.7530,      TA:9.5753
NR:0,   Dly:16, i:10,   R:27,   T:95.2060,      TA:9.5206
NR:0,   Dly:16, i:11,   R:30,   T:106.8120,     TA:9.7102
NR:0,   Dly:16, i:11,   R:33,   T:106.4150,     TA:9.6741
NR:0,   Dly:16, i:11,   R:48,   T:107.0130,     TA:9.7285
NR:0,   Dly:16, i:12,   R:23,   T:117.7620,     TA:9.8135
NR:0,   Dly:16, i:12,   R:42,   T:117.5140,     TA:9.7928
NR:0,   Dly:16, i:12,   R:31,   T:117.2610,     TA:9.7718
NR:0,   Dly:16, i:13,   R:34,   T:129.1500,     TA:9.9346
NR:0,   Dly:16, i:13,   R:26,   T:129.0400,     TA:9.9262
NR:0,   Dly:16, i:13,   R:14,   T:128.9330,     TA:9.9179
NR:0,   Dly:16, i:14,   R:29,   T:139.9680,     TA:9.9977
NR:0,   Dly:16, i:14,   R:42,   T:140.0020,     TA:10.0001
NR:0,   Dly:16, i:14,   R:28,   T:140.0400,     TA:10.0029
NR:0,   Dly:16, i:15,   R:19,   T:151.2220,     TA:10.0815
NR:0,   Dly:16, i:15,   R:28,   T:151.4040,     TA:10.0936
NR:0,   Dly:16, i:15,   R:27,   T:151.5860,     TA:10.1057

NR:0,   Dly:32, i:1,    R:36,   T:0.0370,       TA:0.0370
NR:0,   Dly:32, i:1,    R:69,   T:0.0370,       TA:0.0370
NR:0,   Dly:32, i:1,    R:5,    T:0.0370,       TA:0.0370
NR:0,   Dly:32, i:2,    R:44,   T:2.1370,       TA:1.0685
NR:0,   Dly:32, i:2,    R:39,   T:1.5730,       TA:0.7865
NR:0,   Dly:32, i:2,    R:31,   T:1.0110,       TA:0.5055
NR:0,   Dly:32, i:3,    R:20,   T:12.5970,      TA:4.1990
NR:0,   Dly:32, i:3,    R:38,   T:12.1780,      TA:4.0593
NR:0,   Dly:32, i:3,    R:22,   T:12.7580,      TA:4.2527
NR:0,   Dly:32, i:4,    R:27,   T:23.4870,      TA:5.8717
NR:0,   Dly:32, i:4,    R:30,   T:23.2110,      TA:5.8028
NR:0,   Dly:32, i:4,    R:3,    T:23.9410,      TA:5.9852
NR:0,   Dly:32, i:5,    R:27,   T:34.8180,      TA:6.9636
NR:0,   Dly:32, i:5,    R:40,   T:34.6910,      TA:6.9382
NR:0,   Dly:32, i:5,    R:25,   T:34.5640,      TA:6.9128
NR:0,   Dly:32, i:6,    R:4,    T:45.5800,      TA:7.5967
NR:0,   Dly:32, i:6,    R:21,   T:45.5970,      TA:7.5995
NR:0,   Dly:32, i:6,    R:24,   T:45.6190,      TA:7.6032
NR:0,   Dly:32, i:7,    R:32,   T:56.7860,      TA:8.1123
NR:0,   Dly:32, i:7,    R:35,   T:56.9460,      TA:8.1351
NR:0,   Dly:32, i:7,    R:16,   T:57.1120,      TA:8.1589
NR:0,   Dly:32, i:8,    R:16,   T:68.4210,      TA:8.5526
NR:0,   Dly:32, i:8,    R:38,   T:68.7290,      TA:8.5911
NR:0,   Dly:32, i:8,    R:38,   T:68.0350,      TA:8.5044
NR:0,   Dly:32, i:9,    R:26,   T:79.4870,      TA:8.8319
NR:0,   Dly:32, i:9,    R:22,   T:78.9410,      TA:8.7712
NR:0,   Dly:32, i:9,    R:48,   T:79.3930,      TA:8.8214
NR:0,   Dly:32, i:10,   R:4,    T:90.9960,      TA:9.0996
NR:0,   Dly:32, i:10,   R:25,   T:90.5970,      TA:9.0597
NR:0,   Dly:32, i:10,   R:22,   T:90.1950,      TA:9.0195
NR:0,   Dly:32, i:11,   R:33,   T:101.9410,     TA:9.2674
NR:0,   Dly:32, i:11,   R:30,   T:101.6800,     TA:9.2436
NR:0,   Dly:32, i:11,   R:39,   T:101.4210,     TA:9.2201
NR:0,   Dly:32, i:12,   R:20,   T:113.3160,     TA:9.4430
NR:0,   Dly:32, i:12,   R:24,   T:113.2110,     TA:9.4342
NR:0,   Dly:32, i:12,   R:27,   T:113.1010,     TA:9.4251
NR:0,   Dly:32, i:13,   R:17,   T:124.1340,     TA:9.5488
NR:0,   Dly:32, i:13,   R:33,   T:124.1610,     TA:9.5508
NR:0,   Dly:32, i:13,   R:47,   T:124.1940,     TA:9.5534
NR:0,   Dly:32, i:14,   R:33,   T:135.3710,     TA:9.6694
NR:0,   Dly:32, i:14,   R:32,   T:135.5470,     TA:9.6819
NR:0,   Dly:32, i:14,   R:23,   T:134.7290,     TA:9.6235
NR:0,   Dly:32, i:15,   R:33,   T:146.0570,     TA:9.7371
NR:0,   Dly:32, i:15,   R:28,   T:146.3820,     TA:9.7588
NR:0,   Dly:32, i:15,   R:35,   T:146.7130,     TA:9.7809

NR:0,   Dly:64, i:1,    R:22,   T:0.0370,       TA:0.0370
NR:0,   Dly:64, i:1,    R:39,   T:0.0370,       TA:0.0370
NR:0,   Dly:64, i:1,    R:68,   T:0.0370,       TA:0.0370
NR:0,   Dly:64, i:2,    R:15,   T:1.7000,       TA:0.8500
NR:0,   Dly:64, i:2,    R:24,   T:2.5730,       TA:1.2865
NR:0,   Dly:64, i:2,    R:49,   T:2.4460,       TA:1.2230
NR:0,   Dly:64, i:3,    R:10,   T:13.4650,      TA:4.4883
NR:0,   Dly:64, i:3,    R:53,   T:13.4810,      TA:4.4937
NR:0,   Dly:64, i:3,    R:-9,   T:13.4980,      TA:4.4993
NR:0,   Dly:64, i:4,    R:10,   T:24.6630,      TA:6.1658
NR:0,   Dly:64, i:4,    R:18,   T:24.8230,      TA:6.2057
NR:0,   Dly:64, i:4,    R:22,   T:24.9850,      TA:6.2463
NR:0,   Dly:64, i:5,    R:48,   T:36.2880,      TA:7.2576
NR:0,   Dly:64, i:5,    R:40,   T:36.5970,      TA:7.3194
NR:0,   Dly:64, i:5,    R:27,   T:35.9080,      TA:7.1816
NR:0,   Dly:64, i:6,    R:23,   T:47.3490,      TA:7.8915
NR:0,   Dly:64, i:6,    R:43,   T:47.8010,      TA:7.9668
NR:0,   Dly:64, i:6,    R:63,   T:47.2550,      TA:7.8758
NR:0,   Dly:64, i:7,    R:27,   T:58.8510,      TA:8.4073
NR:0,   Dly:64, i:7,    R:32,   T:58.4480,      TA:8.3497
NR:0,   Dly:64, i:7,    R:30,   T:58.0460,      TA:8.2923
NR:0,   Dly:64, i:8,    R:47,   T:69.7960,      TA:8.7245
NR:0,   Dly:64, i:8,    R:45,   T:69.5360,      TA:8.6920
NR:0,   Dly:64, i:8,    R:32,   T:69.2770,      TA:8.6596
NR:0,   Dly:64, i:9,    R:21,   T:81.1670,      TA:9.0186
NR:0,   Dly:64, i:9,    R:27,   T:81.0570,      TA:9.0063
NR:0,   Dly:64, i:9,    R:48,   T:80.9460,      TA:8.9940
NR:0,   Dly:64, i:10,   R:25,   T:91.9850,      TA:9.1985
NR:0,   Dly:64, i:10,   R:42,   T:92.0180,      TA:9.2018
NR:0,   Dly:64, i:10,   R:34,   T:92.0510,      TA:9.2051
NR:0,   Dly:64, i:11,   R:33,   T:103.2280,     TA:9.3844
NR:0,   Dly:64, i:11,   R:37,   T:103.4040,     TA:9.4004
NR:0,   Dly:64, i:11,   R:43,   T:103.5800,     TA:9.4164
NR:0,   Dly:64, i:12,   R:40,   T:113.9080,     TA:9.4923
NR:0,   Dly:64, i:12,   R:31,   T:114.2170,     TA:9.5181
NR:0,   Dly:64, i:12,   R:43,   T:114.5420,     TA:9.5452
NR:0,   Dly:64, i:13,   R:23,   T:125.0130,     TA:9.6164
NR:0,   Dly:64, i:13,   R:24,   T:125.4810,     TA:9.6524
NR:0,   Dly:64, i:13,   R:24,   T:124.9520,     TA:9.6117
NR:0,   Dly:64, i:14,   R:28,   T:136.5690,     TA:9.7549
NR:0,   Dly:64, i:14,   R:32,   T:136.1780,     TA:9.7270
NR:0,   Dly:64, i:14,   R:34,   T:136.7960,     TA:9.7711
NR:0,   Dly:64, i:15,   R:28,   T:147.5580,     TA:9.8372
NR:0,   Dly:64, i:15,   R:23,   T:147.3160,     TA:9.8211
NR:0,   Dly:64, i:15,   R:22,   T:148.0770,     TA:9.8718
