Time, Delay, Readings, Measure
17:02:48:649, 8,      11,     32.59
17:02:48:771, 8,      10,     52.60
17:02:48:883, 8,      10,     38.05
17:02:48:994, 8,      10,     40.02
17:02:49:106, 8,      9,      34.48
17:02:49:206, 8,      9,      43.91
17:02:49:306, 8,      9,      30.14
17:02:49:406, 8,      8,      41.59
17:02:49:496, 8,      8,      23.36
17:02:49:585, 8,      8,      40.00
17:02:49:674, 8,      7,      55.21
17:02:49:752, 8,      7,      36.87
17:02:49:830, 8,      7,      41.24
17:02:49:908, 8,      6,      46.93
17:02:49:975, 8,      6,      52.13
17:02:50:041, 8,      6,      29.79
17:02:50:108, 8,      5,      57.75
17:02:50:164, 8,      5,      41.15
17:02:50:220, 8,      5,      43.91
17:02:50:275, 8,      4,      31.51
17:02:50:333, 8,      4,      28.72
17:02:50:364, 8,      4,      35.94
17:02:50:409, 8,      3,      50.06
17:02:50:442, 8,      3,      61.36
17:02:50:476, 8,      3,      70.51
17:02:50:509, 8,      2,      45.72
17:02:50:532, 8,      2,      53.02
17:02:50:554, 8,      2,      39.81
17:02:50:576, 8,      1,      34.94
17:02:50:592, 8,      1,      36.68
17:02:50:600, 8,      1,      17.56
17:02:50:616, 
17:02:50:616, 16,     16,     35.20
17:02:50:799, 16,     16,     54.26
17:02:50:978, 16,     16,     60.86
17:02:51:156, 16,     15,     52.71
17:02:51:323, 16,     15,     40.37
17:02:51:490, 16,     15,     48.30
17:02:51:657, 16,     14,     33.14
17:02:51:814, 16,     14,     43.85
17:02:51:969, 16,     14,     43.59
17:02:52:125, 16,     13,     46.26
17:02:52:270, 16,     13,     57.99
17:02:52:433, 16,     13,     39.31
17:02:52:559, 16,     12,     51.74
17:02:52:693, 16,     12,     47.43
17:02:52:827, 16,     12,     49.11
17:02:52:960, 16,     11,     45.59
17:02:53:083, 16,     11,     44.17
17:02:53:206, 16,     11,     48.13
17:02:53:328, 16,     10,     44.09
17:02:53:440, 16,     10,     51.17
17:02:53:551, 16,     10,     38.20
17:02:53:663, 16,     9,      46.32
17:02:53:763, 16,     9,      54.99
17:02:53:863, 16,     9,      61.86
17:02:53:963, 16,     8,      71.27
17:02:54:052, 16,     8,      51.17
17:02:54:142, 16,     8,      49.56
17:02:54:231, 16,     7,      65.01
17:02:54:309, 16,     7,      35.13
17:02:54:387, 16,     7,      47.06
17:02:54:465, 16,     6,      60.99
17:02:54:531, 16,     6,      72.03
17:02:54:598, 16,     6,      47.13
17:02:54:665, 16,     5,      56.71
17:02:54:721, 16,     5,      51.21
17:02:54:776, 16,     5,      55.52
17:02:54:832, 16,     4,      43.72
17:02:54:877, 16,     4,      34.55
17:02:54:921, 16,     4,      46.63
17:02:54:966, 16,     3,      45.61
17:02:54:999, 16,     3,      66.16
17:02:55:057, 16,     3,      79.33
17:02:55:066, 16,     2,      32.77
17:02:55:088, 16,     2,      68.49
17:02:55:111, 16,     2,      34.16
17:02:55:134, 16,     1,      97.00
17:02:55:149, 16,     1,      117.85
17:02:55:190, 16,     1,      50.24
17:02:55:191, 
17:02:55:191, 32,     16,     52.93
17:02:55:378, 32,     16,     59.71
17:02:55:580, 32,     16,     61.12
17:02:55:757, 32,     15,     46.15
17:02:55:935, 32,     15,     42.15
17:02:56:114, 32,     15,     52.56
17:02:56:292, 32,     14,     54.47
17:02:56:459, 32,     14,     55.49
17:02:56:626, 32,     14,     52.17
17:02:56:793, 32,     13,     79.05
17:02:56:949, 32,     13,     59.51
17:02:57:105, 32,     13,     53.63
17:02:57:261, 32,     12,     38.26
17:02:57:406, 32,     12,     62.51
17:02:57:551, 32,     12,     58.19
17:02:57:696, 32,     11,     73.16
17:02:57:829, 32,     11,     48.61
17:02:57:963, 32,     11,     66.90
17:02:58:097, 32,     10,     63.79
17:02:58:220, 32,     10,     59.75
17:02:58:342, 32,     10,     71.16
17:02:58:464, 32,     9,      61.17
17:02:58:576, 32,     9,      75.35
17:02:58:687, 32,     9,      57.15
17:02:58:799, 32,     8,      68.55
17:02:58:899, 32,     8,      46.85
17:02:59:000, 32,     8,      47.30
17:02:59:100, 32,     7,      51.32
17:02:59:188, 32,     7,      68.86
17:02:59:278, 32,     7,      96.69
17:02:59:367, 32,     6,      56.21
17:02:59:445, 32,     6,      65.25
17:02:59:523, 32,     6,      23.73
17:02:59:601, 32,     5,      61.23
17:02:59:668, 32,     5,      48.50
17:02:59:734, 32,     5,      74.16
17:02:59:801, 32,     4,      75.14
17:02:59:857, 32,     4,      53.80
17:02:59:913, 32,     4,      83.83
17:02:59:968, 32,     3,      72.55
17:03:00:013, 32,     3,      81.94
17:03:00:058, 32,     3,      51.97
17:03:00:102, 32,     2,      63.62
17:03:00:135, 32,     2,      110.47
17:03:00:169, 32,     2,      65.71
17:03:00:202, 32,     1,      90.56
17:03:00:234, 32,     1,      129.50
17:03:00:267, 32,     1,      68.31
17:03:00:299, 
17:03:00:299, 64,     16,     62.62
17:03:00:526, 64,     16,     62.66
17:03:00:748, 64,     16,     52.80
17:03:00:971, 64,     15,     66.58
17:03:01:195, 64,     15,     72.53
17:03:01:395, 64,     15,     59.01
17:03:01:606, 64,     14,     60.36
17:03:01:807, 64,     14,     70.05
17:03:02:008, 64,     14,     62.64
17:03:02:208, 64,     13,     58.67
17:03:02:397, 64,     13,     53.73
17:03:02:587, 64,     13,     52.47
17:03:02:776, 64,     12,     69.75
17:03:02:954, 64,     12,     59.91
17:03:03:133, 64,     12,     73.85
17:03:03:311, 64,     11,     69.62
17:03:03:478, 64,     11,     78.48
17:03:03:645, 64,     11,     70.25
17:03:03:813, 64,     10,     70.49
17:03:03:968, 64,     10,     63.40
17:03:04:124, 64,     10,     68.47
17:03:04:280, 64,     9,      58.84
17:03:04:425, 64,     9,      75.20
17:03:04:570, 64,     9,      84.70
17:03:04:715, 64,     8,      69.49
17:03:04:849, 64,     8,      49.91
17:03:04:982, 64,     8,      69.66
17:03:05:116, 64,     7,      57.41
17:03:05:238, 64,     7,      60.12
17:03:05:361, 64,     7,      84.72
17:03:05:484, 64,     6,      56.52
17:03:05:595, 64,     6,      74.64
17:03:05:719, 64,     6,      59.08
17:03:05:818, 64,     5,      68.88
17:03:05:918, 64,     5,      70.23
17:03:06:018, 64,     5,      58.01
17:03:06:118, 64,     4,      30.38
17:03:06:208, 64,     4,      75.70
17:03:06:297, 64,     4,      81.22
17:03:06:386, 64,     3,      60.14
17:03:06:464, 64,     3,      65.53
17:03:06:542, 64,     3,      65.95
17:03:06:620, 64,     2,      47.02
17:03:06:687, 64,     2,      44.85
17:03:06:754, 64,     2,      96.21
17:03:06:821, 64,     1,      23.47
17:03:06:884, 64,     1,      81.52
17:03:06:948, 64,     1,      46.41
17:03:07:012, 
17:03:07:012, 128,    16,     66.40
17:03:07:300, 128,    16,     76.01
17:03:07:590, 128,    16,     84.83
17:03:07:879, 128,    15,     65.84
17:03:08:163, 128,    15,     56.47
17:03:08:436, 128,    15,     59.71
17:03:08:726, 128,    14,     60.08
17:03:08:982, 128,    14,     66.55
17:03:09:249, 128,    14,     69.51
17:03:09:517, 128,    13,     66.03
17:03:09:773, 128,    13,     83.91
17:03:10:029, 128,    13,     75.46
17:03:10:285, 128,    12,     66.84
17:03:10:530, 128,    12,     72.07
17:03:10:776, 128,    12,     87.48
17:03:11:021, 128,    11,     73.66
17:03:11:255, 128,    11,     87.61
17:03:11:488, 128,    11,     81.39
17:03:11:736, 128,    10,     75.40
17:03:11:945, 128,    10,     91.00
17:03:12:168, 128,    10,     87.80
17:03:12:391, 128,    9,      78.66
17:03:12:602, 128,    9,      97.28
17:03:12:814, 128,    9,      76.20
17:03:13:026, 128,    8,      85.94
17:03:13:239, 128,    8,      89.74
17:03:13:427, 128,    8,      79.70
17:03:13:628, 128,    7,      88.00
17:03:13:817, 128,    7,      75.38
17:03:14:007, 128,    7,      72.38
17:03:14:196, 128,    6,      86.85
17:03:14:374, 128,    6,      74.59
17:03:14:552, 128,    6,      83.85
17:03:14:738, 128,    5,      77.81
17:03:14:897, 128,    5,      94.26
17:03:15:065, 128,    5,      96.00
17:03:15:232, 128,    4,      78.92
17:03:15:388, 128,    4,      95.95
17:03:15:544, 128,    4,      68.49
17:03:15:700, 128,    3,      70.81
17:03:15:844, 128,    3,      53.43
17:03:16:005, 128,    3,      73.88
17:03:16:134, 128,    2,      104.99
17:03:16:268, 128,    2,      55.97
17:03:16:401, 128,    2,      73.09
17:03:16:535, 128,    1,      46.24
17:03:16:664, 128,    1,      103.77
17:03:16:793, 128,    1,      91.61
17:03:16:793, 
17:03:16:793, 256,    16,     67.49
17:03:17:204, 256,    16,     74.01
17:03:17:616, 256,    16,     80.13
17:03:18:028, 256,    15,     84.20
17:03:18:440, 256,    15,     89.02
17:03:18:841, 256,    15,     122.98
17:03:19:249, 256,    14,     100.52
17:03:19:633, 256,    14,     116.42
17:03:20:023, 256,    14,     97.06
17:03:20:412, 256,    13,     91.72
17:03:20:791, 256,    13,     104.49
17:03:21:426, 256,    13,     94.93
17:03:21:817, 256,    12,     103.23
17:03:22:440, 256,    12,     94.80
17:03:22:819, 256,    12,     109.23
17:03:23:187, 256,    11,     107.62
17:03:23:543, 256,    11,     101.65
17:03:23:900, 256,    11,     102.34
17:03:24:257, 256,    10,     110.79
17:03:24:602, 256,    10,     107.66
17:03:24:947, 256,    10,     115.77
17:03:25:292, 256,    9,      90.35
17:03:25:638, 256,    9,      125.37
17:03:25:972, 256,    9,      109.47
17:03:26:306, 256,    8,      108.73
17:03:26:629, 256,    8,      95.50
17:03:26:954, 256,    8,      135.65
17:03:27:287, 256,    7,      99.99
17:03:27:599, 256,    7,      112.79
17:03:27:911, 256,    7,      98.26
17:03:28:479, 256,    6,      98.30
17:03:28:780, 256,    6,      126.13
17:03:29:092, 256,    6,      139.76
17:03:29:649, 256,    5,      117.05
17:03:29:950, 256,    5,      118.51
17:03:30:239, 256,    5,      114.62
17:03:30:529, 256,    4,      109.38
17:03:30:807, 256,    4,      129.63
17:03:31:086, 256,    4,      99.95
17:03:31:365, 256,    3,      112.99
17:03:31:632, 256,    3,      131.70
17:03:31:899, 256,    3,      123.35
17:03:32:183, 256,    2,      128.89
17:03:32:434, 256,    2,      111.51
17:03:32:706, 256,    2,      104.99
17:03:32:947, 256,    1,      109.51
17:03:33:202, 256,    1,      110.21
17:03:33:458, 256,    1,      120.29
17:03:33:714, 
