Time, Delay, Readings, Measure
17:02:32:444, 
17:02:32:444, 1,      16,     3.85
17:02:32:604, 1,      16,     -5.17
17:02:32:783, 1,      16,     6.43
17:02:32:961, 1,      15,     9.32
17:02:33:128, 1,      15,     5.63
17:02:33:295, 1,      15,     10.65
17:02:33:462, 1,      14,     3.61
17:02:33:618, 1,      14,     12.93
17:02:33:774, 1,      14,     24.86
17:02:33:930, 1,      13,     3.15
17:02:34:075, 1,      13,     -2.37
17:02:34:220, 1,      13,     -9.17
17:02:34:365, 1,      12,     4.02
17:02:34:499, 1,      12,     19.90
17:02:34:632, 1,      12,     15.88
17:02:34:766, 1,      11,     -4.35
17:02:34:889, 1,      11,     21.21
17:02:35:011, 1,      11,     1.83
17:02:35:134, 1,      10,     29.16
17:02:35:245, 1,      10,     11.08
17:02:35:357, 1,      10,     16.90
17:02:35:468, 1,      9,      32.77
17:02:35:568, 1,      9,      6.82
17:02:35:668, 1,      9,      19.32
17:02:35:769, 1,      8,      18.86
17:02:35:858, 1,      8,      19.21
17:02:35:947, 1,      8,      10.73
17:02:36:036, 1,      7,      19.99
17:02:36:114, 1,      7,      6.15
17:02:36:192, 1,      7,      22.21
17:02:36:270, 1,      6,      13.91
17:02:36:337, 1,      6,      19.62
17:02:36:404, 1,      6,      9.28
17:02:36:471, 1,      5,      10.26
17:02:36:526, 1,      5,      27.92
17:02:36:582, 1,      5,      38.89
17:02:36:638, 1,      4,      26.33
17:02:36:682, 1,      4,      -6.17
17:02:36:747, 1,      4,      -7.69
17:02:36:771, 1,      3,      11.54
17:02:36:805, 1,      3,      35.11
17:02:36:838, 1,      3,      26.66
17:02:36:872, 1,      2,      16.77
17:02:36:894, 1,      2,      10.78
17:02:36:916, 1,      2,      26.94
17:02:36:939, 1,      1,      16.69
17:02:36:950, 1,      1,      23.47
17:02:36:961, 1,      1,      31.81
17:02:36:973, 
17:02:36:973, 2,      16,     12.39
17:02:37:150, 2,      16,     17.38
17:02:37:329, 2,      16,     11.21
17:02:37:507, 2,      15,     21.32
17:02:37:674, 2,      15,     38.20
17:02:37:841, 2,      15,     19.75
17:02:38:008, 2,      14,     33.05
17:02:38:164, 2,      14,     25.16
17:02:38:321, 2,      14,     2.46
17:02:38:476, 2,      13,     29.27
17:02:38:621, 2,      13,     13.73
17:02:38:766, 2,      13,     3.17
17:02:38:911, 2,      12,     29.99
17:02:39:045, 2,      12,     33.77
17:02:39:178, 2,      12,     26.07
17:02:39:312, 2,      11,     30.46
17:02:39:434, 2,      11,     11.80
17:02:39:557, 2,      11,     14.84
17:02:39:680, 2,      10,     28.53
17:02:39:791, 2,      10,     46.98
17:02:39:902, 2,      10,     6.13
17:02:40:013, 2,      9,      22.86
17:02:40:124, 2,      9,      23.81
17:02:40:215, 2,      9,      31.31
17:02:40:315, 2,      8,      18.16
17:02:40:404, 2,      8,      36.33
17:02:40:493, 2,      8,      47.06
17:02:40:582, 2,      7,      34.09
17:02:40:660, 2,      7,      34.44
17:02:40:738, 2,      7,      27.64
17:02:40:816, 2,      6,      34.00
17:02:40:883, 2,      6,      24.51
17:02:40:950, 2,      6,      37.72
17:02:41:016, 2,      5,      39.15
17:02:41:073, 2,      5,      31.33
17:02:41:128, 2,      5,      21.90
17:02:41:184, 2,      4,      38.94
17:02:41:228, 2,      4,      22.34
17:02:41:273, 2,      4,      46.32
17:02:41:317, 2,      3,      64.55
17:02:41:351, 2,      3,      39.22
17:02:41:384, 2,      3,      50.87
17:02:41:418, 2,      2,      41.02
17:02:41:440, 2,      2,      59.62
17:02:41:462, 2,      2,      25.20
17:02:41:484, 2,      1,      9.39
17:02:41:497, 2,      1,      36.16
17:02:41:509, 2,      1,      29.55
17:02:41:519, 
17:02:41:519, 4,      16,     38.09
17:02:41:696, 4,      16,     28.64
17:02:41:875, 4,      16,     24.40
17:02:42:054, 4,      15,     36.63
17:02:42:220, 4,      15,     33.14
17:02:42:387, 4,      15,     22.81
17:02:42:555, 4,      14,     32.27
17:02:42:710, 4,      14,     32.38
17:02:42:867, 4,      14,     18.56
17:02:43:022, 4,      13,     29.68
17:02:43:167, 4,      13,     45.83
17:02:43:312, 4,      13,     31.77
17:02:43:457, 4,      12,     56.69
17:02:43:591, 4,      12,     37.87
17:02:43:724, 4,      12,     27.07
17:02:43:858, 4,      11,     35.92
17:02:43:981, 4,      11,     32.70
17:02:44:103, 4,      11,     32.70
17:02:44:227, 4,      10,     36.63
17:02:44:337, 4,      10,     30.18
17:02:44:449, 4,      10,     19.25
17:02:44:573, 4,      9,      32.14
17:02:44:660, 4,      9,      31.51
17:02:44:760, 4,      9,      27.55
17:02:44:861, 4,      8,      26.99
17:02:44:950, 4,      8,      30.25
17:02:45:040, 4,      8,      52.89
17:02:45:128, 4,      7,      57.78
17:02:45:206, 4,      7,      30.42
17:02:45:284, 4,      7,      47.61
17:02:45:362, 4,      6,      47.22
17:02:45:429, 4,      6,      31.96
17:02:45:497, 4,      6,      45.30
17:02:45:563, 4,      5,      39.70
17:02:45:618, 4,      5,      15.69
17:02:45:674, 4,      5,      37.13
17:02:45:730, 4,      4,      32.55
17:02:45:774, 4,      4,      46.85
17:02:45:819, 4,      4,      47.24
17:02:45:863, 4,      3,      39.00
17:02:45:897, 4,      3,      27.88
17:02:45:930, 4,      3,      30.94
17:02:45:964, 4,      2,      44.33
17:02:45:986, 4,      2,      51.02
17:02:46:008, 4,      2,      22.86
17:02:46:030, 4,      1,      59.27
17:02:46:043, 4,      1,      48.50
17:02:46:055, 4,      1,      61.01
17:02:46:067, 
17:02:46:067, 8,      16,     37.52
17:02:46:242, 8,      16,     47.63
17:02:46:420, 8,      16,     32.87
17:02:46:599, 8,      15,     30.79
17:02:46:766, 8,      15,     34.63
17:02:46:933, 8,      15,     45.26
17:02:47:100, 8,      14,     40.50
17:02:47:257, 8,      14,     43.33
17:02:47:412, 8,      14,     36.53
17:02:47:568, 8,      13,     37.22
17:02:47:714, 8,      13,     45.63
17:02:47:858, 8,      13,     42.89
17:02:48:003, 8,      12,     44.41
17:02:48:136, 8,      12,     47.17
17:02:48:270, 8,      12,     37.07
17:02:48:404, 8,      11,     59.06
17:02:48:526, 8,      11,     35.92
