Time(us),Reading
19475098,45.72
19486097,38.07
19497098,2.78
19508097,20.69
19520098,12.34
19531097,14.60
19542098,7.13
19553097,-13.04
19564098,-16.51
19576097,3.82
19587099,-27.64
19598097,-17.73
19609098,5.39
19620097,-6.78
19631098,-11.12
19643097,-11.12
19654099,-36.50
19665097,-27.81
19676098,-8.17
19687097,27.29
19698098,385.90
19710097,400.84
19721098,-21.03
19732097,1.56
19743098,-37.20
19754097,-14.08
19765099,-12.86
19777097,9.73
19788099,22.25
19799097,-0.17
19810098,-16.69
19821097,6.08
19832099,-27.64
19844097,-16.86
19855098,9.73
19866097,-3.65
19877099,-24.51
19888097,-1.22
19899099,14.78
19911097,2.61
19922099,-5.91
19933097,-8.87
19944098,29.90
19955097,11.47
19966098,-3.30
19978097,23.81
19989098,23.64
20000097,-1.56
20011098,-31.29
20022097,-7.47
20033099,16.86
20045097,34.07
20056098,24.68
20067097,17.73
20078098,7.82
20089097,5.39
20100099,20.86
20112097,4.17
20123099,14.25
20134097,44.67
20145098,65.19
20156097,30.59
20167099,22.08
20179097,23.29
20190098,38.94
20201097,34.24
20212098,35.29
20223097,32.68
20234099,-2.43
20246097,-17.56
20257098,-8.52
20268097,-14.43
20279099,-7.30
20290097,3.48
20301099,14.60
20313097,13.91
20324099,22.08
20335097,12.69
20346099,31.64
20357097,26.94
20368099,-1.91
20380097,-14.60
20391098,23.64
20402097,23.47
20413098,5.56
20424097,5.91
20435099,16.69
20447097,10.60
20458098,-8.17
20469097,-22.25
20480098,-9.39
20491097,15.12
20502098,12.69
20514097,4.52
20525098,-14.08
20536097,9.39
20547098,10.95
20558097,11.65
20569099,19.12
20581097,9.56
20592099,18.95
20603097,7.47
20614098,2.26
20625097,-3.13
20636098,-6.26
20648097,6.95
20659099,14.60
20670097,9.91
20681098,28.68
20692097,-11.30
20703098,-15.12
20715097,-25.55
20726099,-24.86
20737097,-3.48
20748098,-5.39
20759097,4.52
20770098,33.90
20782097,73.18
20793099,356.34
20804097,307.85
20815098,126.37
20826097,92.13
20838098,17.90
20849097,18.95
20860099,19.99
20871097,70.05
20882099,145.49
20893097,163.74
20905098,165.48
20916097,186.17
20927099,197.81
20938097,266.48
20949099,305.24
20960097,319.32
20972098,339.48
20983097,365.91
20994098,358.08
21005097,396.50
21016099,523.57
21027097,478.72
21039098,404.49
21050097,525.48
21061098,567.02
21072097,550.34
21083099,536.08
21094097,574.32
21106098,576.93
21117097,599.18
21128098,632.56
21139097,605.79
21150098,606.48
21161097,642.12
21173098,636.21
21184097,634.99
21195099,635.16
21206097,644.90
21217098,650.98
21228097,636.55
21240098,624.56
21251097,589.10
21262098,588.75
21273097,590.49
21284098,626.99
21295097,624.21
21307098,617.08
21318097,643.16
21329098,664.02
21340097,646.29
21351098,632.73
21362097,651.15
21374098,685.75
21385097,698.96
21396098,680.53
21407097,685.40
21418098,703.13
21429097,692.18
21441098,691.83
21452097,696.70
21463098,709.56
21474097,715.64
21485098,743.80
21496097,740.33
21508099,734.24
21519097,750.93
21530098,754.93
21541097,744.50
21552099,771.44
21563097,777.35
21575098,757.88
21586097,738.42
21597098,773.01
21608097,793.69
21619098,784.48
21630097,791.43
21642098,788.48
21653097,802.91
21664099,812.47
21675097,811.25
21686098,802.91
21697097,815.07
21709098,816.81
21720097,809.86
21731099,812.47
21742097,793.87
21753098,797.52
21764097,803.43
21776098,771.79
21787097,779.27
21798098,791.61
21809097,780.31
21820098,771.79
21831097,780.31
21843098,777.35
21854097,776.66
21865098,774.57
21876097,764.14
21887098,773.01
21898097,792.82
21910098,789.35
21921097,766.05
21932098,774.40
21943097,770.40
21954098,735.63
21965097,725.03
21977098,750.24
21988097,762.93
21999098,744.50
22010097,747.11
22021098,736.85
22033097,731.29
22044098,740.68
22055097,725.90
22066098,731.98
22077097,727.46
22088098,743.46
22100097,763.10
22111098,750.93
22122097,736.68
22133098,746.93
22144097,759.80
22155099,778.05
22167097,782.05
22178098,766.58
22189097,791.09
22200098,755.45
22211097,776.14
22222098,793.17
22234097,786.91
22245098,770.57
22256097,800.65
22267099,835.24
22278097,816.12
22289098,782.74
22301097,801.34
22312099,823.24
22323097,801.34
22334099,777.01
22345097,766.40
22356099,779.27
22368097,778.05
22379098,804.12
22390097,795.26
22401098,751.63
22412097,746.41
22423098,743.28
22435097,747.11
22446098,749.37
22457097,757.02
22468098,716.17
22479097,704.17
22490099,721.38
22502097,725.03
22513098,758.58
22524097,754.41
22535098,723.12
22546097,719.82
22557098,719.82
22569097,741.72
22580098,762.58
22591097,764.84
22602099,772.83
22613097,766.40
22624098,739.98
22636097,761.53
22647098,744.67
22658097,714.60
22669098,704.87
22680097,720.69
22691098,741.72
22703097,738.42
22714099,734.59
22725097,713.73
22736098,688.88
22747097,709.56
22758098,739.81
22770097,756.49
22781098,743.98
22792097,727.64
22803098,725.03
22814097,715.64
22825098,739.81
22837097,739.81
22848098,732.85
22859097,747.28
22870099,733.20
22881097,725.73
22892098,727.81
22904097,738.94
22915098,764.84
22926097,736.68
22937098,725.03
22948097,743.63
22959098,745.54
22971097,743.46
22982098,755.97
22993097,779.09
23004098,761.36
23015097,751.45
23026098,736.33
23038097,736.16
23049098,722.60
23060097,757.71
23071098,762.23
23082097,753.54
23094099,768.49
23105097,748.32
23116098,719.12
23127097,745.72
23138098,760.14
23149097,752.67
23161098,745.54
23172097,758.93
23183098,741.02
23194097,735.29
23205099,733.72
23216097,730.77
23228098,758.75
23239097,739.81
23250099,734.59
23261097,740.15
23272098,740.68
23283097,722.77
23295098,737.72
23306097,761.88
23317098,756.49
23328097,735.29
23339098,735.98
23350097,742.24
23362098,749.37
23373097,739.98
23384099,756.84
23395097,742.59
23406098,728.51
23417097,751.28
23429098,791.95
23440097,757.54
23451098,718.77
23462097,737.20
23473099,756.15
23484097,738.59
23496098,755.97
23507097,759.28
23518098,748.15
23529097,736.68
23540098,741.20
23551097,720.34
23563098,724.86
23574097,744.67
23585098,735.63
23596097,726.94
23607098,730.59
23618097,740.33
23630099,768.66
23641097,752.67
23
