Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
24074,0.0,0.0,0.999,0.0,0.0,0.0,S
24125,0.051,-250.05,0.999,0.001,0.003,0.002,S
24176,0.102,-234.52,0.999,0.0,0.007,0.004,S
24226,0.152,-253.26,0.999,0.0,0.012,0.007,S
24285,0.211,-268.35,0.999,-0.001,0.017,0.01,S
24335,0.261,-267.42,0.999,-0.005,0.023,0.013,S
24385,0.311,-195.6,0.999,-0.011,0.028,0.016,S
24435,0.361,-284.11,0.999,-0.016,0.033,0.02,S
24485,0.411,-339.38,0.998,-0.021,0.037,0.023,S
24535,0.461,-276.85,0.998,-0.027,0.04,0.028,S
24586,0.512,-305.61,0.998,-0.027,0.043,0.034,S
24644,0.57,-291.6,0.997,-0.025,0.045,0.038,S
24694,0.62,-296.03,0.997,-0.026,0.049,0.043,S
24744,0.67,-289.61,0.997,-0.029,0.051,0.048,S
24794,0.72,-323.13,0.996,-0.031,0.054,0.052,S
24844,0.77,-282.75,0.996,-0.034,0.056,0.056,S
24894,0.82,-297.69,0.995,-0.039,0.058,0.059,S
24945,0.871,-287.95,0.995,-0.043,0.059,0.062,S
25003,0.929,-289.37,0.995,-0.045,0.061,0.063,S
25053,0.979,-263.33,0.994,-0.048,0.064,0.064,S
25103,1.029,-302.25,0.994,-0.052,0.067,0.064,S
25153,1.079,-259.63,0.993,-0.054,0.071,0.064,S
25203,1.129,-314.51,0.993,-0.054,0.075,0.062,S
25253,1.179,-296.52,0.993,-0.053,0.078,0.06,S
25304,1.23,-321.67,0.993,-0.051,0.081,0.056,S
25363,1.289,-302.8,0.994,-0.046,0.082,0.051,S
25413,1.339,-308.78,0.994,-0.037,0.081,0.045,S
25463,1.389,-327.36,0.995,-0.03,0.081,0.038,S
25513,1.439,-318.07,0.995,-0.031,0.081,0.032,S
25563,1.489,-301.63,0.995,-0.037,0.08,0.027,S
25613,1.539,-262.55,0.995,-0.041,0.079,0.024,S
25664,1.59,-321.72,0.995,-0.039,0.078,0.022,S
25722,1.648,-255.59,0.996,-0.035,0.078,0.021,S
25772,1.698,-240.03,0.995,-0.034,0.079,0.022,S
25822,1.748,-242.9,0.995,-0.036,0.082,0.023,S
25872,1.798,-303.62,0.995,-0.038,0.085,0.025,S
25922,1.848,-277.58,0.994,-0.04,0.089,0.028,S
25972,1.898,-281.67,0.994,-0.041,0.094,0.031,S
26023,1.949,-279.74,0.993,-0.042,0.099,0.035,S
26081,2.007,-261.0,0.992,-0.043,0.105,0.039,S
26131,2.057,-297.25,0.991,-0.045,0.111,0.045,S
26181,2.107,-276.71,0.99,-0.049,0.117,0.05,S
26231,2.157,-246.25,0.989,-0.053,0.122,0.057,S
26281,2.207,-268.53,0.988,-0.053,0.127,0.062,S
26331,2.257,-306.89,0.987,-0.052,0.132,0.068,S
26382,2.308,-304.15,0.986,-0.059,0.136,0.074,S
26440,2.366,-344.55,0.985,-0.062,0.138,0.079,S
26490,2.416,-300.65,0.984,-0.062,0.141,0.083,S
26540,2.466,-331.21,0.983,-0.064,0.143,0.086,S
26590,2.516,-281.43,0.982,-0.072,0.146,0.091,S
26640,2.566,-299.24,0.981,-0.077,0.148,0.095,S
