Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
552413,0.0,0.0,0.999,0.0,0.0,0.0,S
552463,0.05,107.14,0.999,0.0,0.003,0.0,S
552514,0.101,15.03,0.999,-0.001,0.007,0.001,S
552565,0.152,78.62,0.999,-0.001,0.01,0.002,S
552623,0.21,57.16,0.999,-0.002,0.013,0.002,S
552673,0.26,91.67,0.999,-0.004,0.017,0.003,S
552723,0.31,45.45,0.999,-0.005,0.021,0.003,S
552773,0.36,58.0,0.999,-0.005,0.025,0.004,S
552823,0.41,117.85,0.999,-0.006,0.028,0.006,S
552873,0.46,127.43,0.999,-0.007,0.032,0.007,S
552924,0.511,97.85,0.999,-0.007,0.035,0.008,S
552983,0.57,45.01,0.999,-0.007,0.038,0.009,S
553033,0.62,55.61,0.999,-0.007,0.041,0.01,S
553083,0.67,83.44,0.998,-0.008,0.043,0.011,S
553133,0.72,94.97,0.998,-0.008,0.046,0.012,S
553183,0.77,61.07,0.998,-0.009,0.049,0.013,S
553233,0.82,91.58,0.998,-0.009,0.053,0.014,S
553284,0.871,67.09,0.998,-0.009,0.056,0.016,S
553342,0.929,53.42,0.997,-0.01,0.059,0.017,S
553392,0.979,120.48,0.997,-0.012,0.063,0.019,S
553442,1.029,55.9,0.997,-0.013,0.066,0.02,S
553492,1.079,59.41,0.997,-0.013,0.069,0.022,S
553542,1.129,74.09,0.996,-0.013,0.073,0.023,S
553592,1.179,153.36,0.996,-0.014,0.076,0.025,S
553643,1.23,84.22,0.996,-0.015,0.079,0.027,S
553701,1.288,31.91,0.996,-0.016,0.082,0.028,S
553752,1.339,114.2,0.995,-0.016,0.085,0.029,S
553802,1.389,29.48,0.995,-0.016,0.088,0.03,S
553852,1.439,110.35,0.995,-0.017,0.091,0.032,S
553902,1.489,11.47,0.994,-0.018,0.094,0.033,S
553952,1.539,52.49,0.994,-0.018,0.097,0.034,S
554003,1.59,60.57,0.994,-0.018,0.1,0.035,S
554061,1.648,82.12,0.993,-0.019,0.103,0.036,S
554111,1.698,92.89,0.993,-0.021,0.106,0.036,S
554161,1.748,54.64,0.992,-0.022,0.11,0.037,S
554211,1.798,54.53,0.992,-0.023,0.113,0.038,S
554261,1.848,84.02,0.991,-0.024,0.117,0.039,S
554311,1.898,9.14,0.991,-0.025,0.121,0.04,S
554362,1.949,-20.58,0.99,-0.026,0.124,0.041,S
554420,2.007,36.93,0.99,-0.026,0.127,0.042,S
554470,2.057,36.14,0.99,-0.026,0.13,0.043,S
554520,2.107,105.77,0.989,-0.027,0.133,0.044,S
554570,2.157,98.29,0.989,-0.027,0.136,0.046,S
554620,2.207,57.71,0.988,-0.028,0.139,0.047,S
554671,2.258,131.02,0.988,-0.029,0.142,0.048,S
554722,2.309,106.06,0.987,-0.03,0.144,0.05,S
554780,2.367,68.89,0.987,-0.031,0.147,0.051,S
554830,2.417,80.96,0.986,-0.033,0.15,0.052,S
554880,2.467,75.81,0.986,-0.034,0.153,0.054,S
554930,2.517,66.07,0.985,-0.035,0.155,0.055,S
554980,2.567,134.49,0.984,-0.036,0.158,0.056,S
555030,2.617,18.62,0.984,-0.037,0.162,0.058,S
555080,2.667,42.71,0.983,-0.038,0.164,0.058,S
555139,2.726,144.27,0.983,-0.041,0.167,0.059,S
555189,2.776,55.99,0.982,-0.045,0.169,0.061,S
555239,2.826,43.73,0.982,-0.044,0.171,0.062,S
555289,2.876,27.24,0.981,-0.041,0.174,0.063,S
555339,2.926,94.0,0.981,-0.041,0.177,0.064,S
555390,2.977,83.69,0.98,-0.044,0.181,0.065,S
555440,3.027,83.73,0.979,-0.047,0.184,0.066,S
555499,3.086,72.74,0.978,-0.048,0.187,0.066,S
555549,3.136,58.59,0.977,-0.049,0.191,0.067,S
555599,3.186,59.99,0.977,-0.051,0.194,0.068,S
555649,3.236,70.65,0.976,-0.052,0.197,0.069,S
555699,3.286,59.61,0.975,-0.053,0.199,0.07,S
555749,3.336,61.54,0.975,-0.053,0.202,0.072,S
555800,3.387,84.28,0.974,-0.053,0.205,0.073,S
555858,3.445,42.33,0.973,-0.054,0.207,0.074,S
555908,3.495,81.89,0.973,-0.055,0.21,0.075,S
555958,3.545,74.2,0.972,-0.057,0.213,0.077,S
556008,3.595,93.18,0.971,-0.058,0.216,0.078,S
556058,3.645,48.26,0.97,-0.059,0.218,0.079,S
556108,3.695,61.8,0.97,-0.058,0.221,0.08,S
556159,3.746,100.08,0.969,-0.058,0.224,0.081,S
556218,3.805,64.22,0.968,-0.059,0.226,0.082,S
556268,3.855,54.83,0.967,-0.062,0.23,0.083,S
556318,3.905,92.2,0.966,-0.065,0.233,0.084,S
556368,3.955,29.77,0.965,-0.066,0.236,0.085,S
556418,4.005,34.15,0.964,-0.067,0.239,0.086,S
556468,4.055,113.71,0.963,-0.069,0.241,0.087,S
556519,4.106,80.34,0.962,-0.072,0.244,0.088,S
556577,4.164,69.62,0.962,-0.074,0.246,0.089,S
556627,4.214,10.56,0.961,-0.075,0.248,0.089,S
556677,4.264,103.25,0.96,-0.079,0.25,0.09,S
556727,4.314,52.64,0.959,-0.082,0.251,0.091,S
556777,4.364,64.72,0.959,-0.086,0.252,0.092,S
556827,4.414,52.11,0.958,-0.093,0.253,0.094,S
556878,4.465,8.99,0.956,-0.099,0.255,0.096,S
556937,4.524,89.91,0.955,-0.102,0.257,0.098,S
556987,4.574,123.25,0.954,-0.103,0.26,0.1,S
557037,4.624,109.77,0.953,-0.103,0.263,0.101,S
557087,4.674,109.77,0.952,-0.105,0.267,0.103,S
557137,4.724,51.61,0.95,-0.109,0.27,0.105,S
557187,4.774,46.85,0.948,-0.113,0.274,0.106,S
557238,4.825,24.32,0.947,-0.117,0.278,0.107,S
557296,4.883,103.25,0.945,-0.119,0.281,0.108,S
557346,4.933,19.9,0.944,-0.121,0.285,0.109,S
557396,4.983,12.93,0.943,-0.121,0.288,0.109,S
557446,5.033,124.46,0.942,-0.122,0.292,0.11,S
557496,5.083,73.71,0.94,-0.123,0.295,0.111,S
557546,5.133,66.27,0.939,-0.127,0.298,0.112,S
557597,5.184,56.25,0.937,-0.13,0.301,0.113,S
557655,5.242,92.2,0.936,-0.131,0.303,0.114,S
557706,5.293,92.89,0.935,-0.133,0.305,0.115,S
557756,5.343,56.05,0.934,-0.136,0.307,0.117,S
557806,5.393,82.23,0.933,-0.138,0.309,0.118,S
557856,5.443,47.58,0.932,-0.138,0.311,0.12,S
557906,5.493,79.61,0.931,-0.137,0.314,0.122,S
557957,5.544,79.61,0.93,-0.137,0.316,0.123,S
558015,5.602,90.06,0.929,-0.137,0.318,0.125,S
558065,5.652,111.66,0.928,-0.138,0.32,0.126,S
558115,5.702,-380.26,0.927,-0.14,0.321,0.128,S
558165,5.752,64.28,0.926,-0.14,0.323,0.129,S
558215,5.802,28.75,0.925,-0.141,0.325,0.131,S
