AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,79428,0.0,0.999,0.0,0.0,0.0,78966,0.0,0.999,0.0,0.0,0.0
0.0505,79478,-27.64,0.999,-0.003,0.003,0.0,79017,132.89,0.999,0.0,0.003,0.001
0.1005,79528,-66.8,0.999,-0.007,0.007,0.0,79067,159.42,0.999,0.0,0.006,0.001
0.1505,79578,-114.58,0.999,-0.015,0.011,-0.002,79117,88.27,0.999,0.001,0.008,0.002
0.2005,79628,-96.54,0.999,-0.027,0.016,-0.003,79167,103.85,0.999,0.0,0.01,0.003
0.2515,79679,-55.67,0.999,-0.036,0.022,-0.005,79218,124.48,0.999,-0.001,0.012,0.004
0.3055,79737,-29.48,0.998,-0.041,0.026,-0.005,79268,123.08,0.999,-0.002,0.013,0.005
0.3555,79787,-99.2,0.998,-0.045,0.031,-0.006,79318,128.32,0.999,-0.002,0.016,0.007
0.406,79837,-72.49,0.998,-0.048,0.036,-0.007,79369,81.16,0.999,-0.002,0.017,0.008
0.456,79887,-104.42,0.997,-0.054,0.041,-0.008,79419,114.74,0.999,-0.001,0.019,0.01
0.5065,79937,-81.74,0.997,-0.059,0.046,-0.008,79470,117.74,0.999,-0.001,0.021,0.011
0.557,79987,-26.22,0.996,-0.062,0.05,-0.008,79521,84.66,0.999,-0.002,0.024,0.013
0.6074999999999999,80038,-55.81,0.996,-0.061,0.054,-0.006,79571,113.53,0.999,-0.003,0.027,0.015
0.6625000000000001,80097,-50.21,0.996,-0.058,0.057,-0.005,79622,111.36,0.999,-0.002,0.029,0.016
0.713,80147,-25.92,0.996,-0.056,0.06,-0.002,79673,132.43,0.999,-0.002,0.033,0.018
0.763,80197,-49.1,0.996,-0.055,0.063,0.0,79723,141.67,0.999,-0.003,0.035,0.019
0.8135,80247,-86.5,0.996,-0.054,0.066,0.002,79774,133.99,0.999,-0.004,0.037,0.02
0.8654999999999999,80297,-127.48,0.995,-0.055,0.07,0.004,79828,94.34,0.998,-0.005,0.039,0.022
0.916,80347,-99.06,0.995,-0.056,0.073,0.007,79879,94.38,0.998,-0.004,0.043,0.024
0.9664999999999999,80398,-99.06,0.995,-0.057,0.076,0.009,79929,124.81,0.998,-0.002,0.045,0.026
1.021,80456,-67.43,0.995,-0.057,0.078,0.01,79980,94.67,0.998,-0.001,0.047,0.027
1.0715,80506,-208.39,0.994,-0.059,0.081,0.013,80031,97.18,0.998,0.0,0.052,0.03
1.1215,80556,-23.5,0.994,-0.06,0.084,0.015,80081,124.38,0.997,0.0,0.055,0.032
1.172,80606,-105.0,0.994,-0.059,0.087,0.018,80132,109.3,0.997,0.0,0.059,0.034
