Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
78824,0.0,0.0,0.999,0.0,0.0,0.0,S
78874,0.05,-134.82,0.999,-0.002,0.003,0.004,S
78924,0.1,-70.7,0.999,-0.003,0.007,0.007,S
78974,0.15,-142.56,0.999,-0.006,0.011,0.009,S
79024,0.2,-176.13,0.999,-0.01,0.014,0.01,S
79081,0.257,-156.19,0.999,-0.014,0.016,0.01,S
79131,0.307,-154.05,0.999,-0.02,0.017,0.009,S
79181,0.357,-170.98,0.999,-0.027,0.017,0.007,S
79231,0.407,-65.88,0.999,-0.031,0.017,0.004,S
79281,0.457,-200.91,0.999,-0.033,0.017,0.002,S
79332,0.508,-129.04,0.999,-0.033,0.016,-0.001,S
79383,0.559,-147.08,0.999,-0.032,0.014,-0.004,S
79441,0.617,-150.11,0.999,-0.029,0.012,-0.007,S
79491,0.667,-183.72,0.999,-0.028,0.011,-0.01,S
79541,0.717,-178.96,0.999,-0.029,0.011,-0.012,S
79591,0.767,-103.64,0.999,-0.029,0.011,-0.014,S
79641,0.817,-155.11,0.999,-0.029,0.013,-0.015,S
79691,0.867,-103.4,0.999,-0.03,0.016,-0.014,S
79742,0.918,-146.5,0.999,-0.028,0.017,-0.013,S
79800,0.976,-98.33,0.999,-0.026,0.019,-0.012,S
79850,1.026,-243.1,0.999,-0.026,0.022,-0.01,S
79900,1.076,-161.79,0.999,-0.027,0.026,-0.006,S
79950,1.126,-163.98,0.999,-0.023,0.029,-0.002,S
80000,1.176,-173.85,0.999,-0.018,0.034,0.001,S
80051,1.227,-207.28,0.998,-0.02,0.039,0.006,S
80101,1.277,-176.68,0.998,-0.022,0.044,0.01,S
80160,1.336,-177.26,0.998,-0.022,0.048,0.013,S
80210,1.386,-169.09,0.998,-0.025,0.054,0.015,S
80260,1.436,-163.28,0.997,-0.03,0.058,0.016,S
80310,1.486,-184.3,0.997,-0.031,0.062,0.016,S
80360,1.536,-60.28,0.997,-0.03,0.066,0.016,S
80410,1.586,-143.54,0.996,-0.033,0.07,0.015,S
80461,1.637,-129.04,0.996,-0.037,0.074,0.014,S
80519,1.695,-149.82,0.996,-0.039,0.078,0.012,S
80569,1.745,-200.65,0.995,-0.04,0.082,0.01,S
80619,1.795,-206.05,0.995,-0.042,0.086,0.008,S
80669,1.845,-189.41,0.994,-0.044,0.09,0.006,S
80719,1.895,-189.41,0.994,-0.045,0.094,0.004,S
80769,1.945,-233.11,0.994,-0.045,0.098,0.002,S
