AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,58305,0.0,0.999,0.0,0.0,0.0,35900,135.89,0.999,0.0,-0.002,0.001
0.05,58355,-90.88,0.999,-0.001,-0.001,0.001,35950,152.52,0.999,0.0,-0.005,0.003
0.1,58405,-115.11,0.999,-0.003,-0.003,0.002,36000,152.52,0.999,0.001,-0.008,0.005
0.15,58455,-99.84,0.999,-0.003,-0.005,0.004,36050,157.25,0.999,0.001,-0.011,0.007
0.2005,58505,-129.24,0.999,-0.004,-0.007,0.004,36101,170.81,0.999,0.001,-0.013,0.008
0.251,58556,-55.17,0.999,-0.006,-0.009,0.005,36151,170.81,0.999,0.002,-0.016,0.01
0.305,58614,-124.71,0.999,-0.007,-0.01,0.006,36201,151.85,0.999,0.002,-0.018,0.011
0.355,58664,-101.83,0.999,-0.008,-0.012,0.007,36251,188.73,0.999,0.002,-0.02,0.012
0.405,58714,-104.22,0.999,-0.009,-0.014,0.008,36301,205.31,0.999,0.002,-0.023,0.013
0.455,58764,-49.19,0.999,-0.01,-0.017,0.009,36351,153.35,0.999,0.003,-0.025,0.015
0.505,58814,-143.4,0.999,-0.012,-0.021,0.011,36401,185.95,0.999,0.003,-0.027,0.015
0.555,58864,-72.05,0.999,-0.013,-0.025,0.012,36451,200.41,0.999,0.002,-0.03,0.016
0.606,58915,-88.36,0.999,-0.015,-0.029,0.013,36502,202.81,0.999,0.002,-0.033,0.018
0.66,58973,-118.18,0.999,-0.017,-0.033,0.014,36552,204.64,0.999,0.002,-0.035,0.019
0.71,59023,-52.69,0.998,-0.019,-0.038,0.016,36602,184.12,0.999,0.002,-0.038,0.02
0.7605,59073,-111.72,0.998,-0.02,-0.041,0.017,36653,184.12,0.998,0.001,-0.042,0.022
0.8105,59123,-44.72,0.998,-0.023,-0.045,0.019,36703,233.01,0.998,0.002,-0.045,0.024
