Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
79428,0.0,0.0,0.999,0.0,0.0,0.0,S
79478,0.05,-27.64,0.999,-0.003,0.003,0.0,S
79528,0.1,-66.8,0.999,-0.007,0.007,0.0,S
79578,0.15,-114.58,0.999,-0.015,0.011,-0.002,S
79628,0.2,-96.54,0.999,-0.027,0.016,-0.003,S
79679,0.251,-55.67,0.999,-0.036,0.022,-0.005,S
79737,0.309,-29.48,0.998,-0.041,0.026,-0.005,S
79787,0.359,-99.2,0.998,-0.045,0.031,-0.006,S
79837,0.409,-72.49,0.998,-0.048,0.036,-0.007,S
79887,0.459,-104.42,0.997,-0.054,0.041,-0.008,S
79937,0.509,-81.74,0.997,-0.059,0.046,-0.008,S
79987,0.559,-26.22,0.996,-0.062,0.05,-0.008,S
80038,0.61,-55.81,0.996,-0.061,0.054,-0.006,S
80097,0.669,-50.21,0.996,-0.058,0.057,-0.005,S
80147,0.719,-25.92,0.996,-0.056,0.06,-0.002,S
80197,0.769,-49.1,0.996,-0.055,0.063,0.0,S
80247,0.819,-86.5,0.996,-0.054,0.066,0.002,S
80297,0.869,-127.48,0.995,-0.055,0.07,0.004,S
80347,0.919,-99.06,0.995,-0.056,0.073,0.007,S
80398,0.97,-99.06,0.995,-0.057,0.076,0.009,S
80456,1.028,-67.43,0.995,-0.057,0.078,0.01,S
80506,1.078,-208.39,0.994,-0.059,0.081,0.013,S
80556,1.128,-23.5,0.994,-0.06,0.084,0.015,S
80606,1.178,-105.0,0.994,-0.059,0.087,0.018,S
80656,1.228,-95.22,0.994,-0.055,0.09,0.021,S
80706,1.278,-91.43,0.993,-0.052,0.093,0.023,S
80757,1.329,-50.7,0.993,-0.054,0.096,0.025,S
80816,1.388,-128.4,0.993,-0.056,0.099,0.026,S
80866,1.438,-109.97,0.992,-0.059,0.101,0.027,S
80916,1.488,-83.69,0.992,-0.06,0.104,0.028,S
80966,1.538,-100.22,0.991,-0.061,0.107,0.029,S
81016,1.588,-43.35,0.991,-0.062,0.111,0.03,S
81066,1.638,-44.72,0.99,-0.066,0.114,0.03,S
81117,1.689,-36.78,0.989,-0.071,0.118,0.03,S
81175,1.747,-81.54,0.989,-0.076,0.122,0.029,S
81225,1.797,-61.36,0.988,-0.082,0.126,0.029,S
81275,1.847,-60.14,0.987,-0.087,0.131,0.029,S
81325,1.897,-85.39,0.986,-0.089,0.135,0.029,S
81375,1.947,-120.66,0.985,-0.089,0.139,0.029,S
81425,1.997,-88.55,0.984,-0.091,0.144,0.03,S
81476,2.048,-54.53,0.984,-0.092,0.147,0.032,S
81535,2.107,-47.93,0.983,-0.091,0.15,0.033,S
81585,2.157,-52.16,0.983,-0.088,0.154,0.035,S
81635,2.207,-75.52,0.982,-0.088,0.157,0.037,S
81685,2.257,-21.02,0.981,-0.091,0.161,0.039,S
81735,2.307,-71.47,0.98,-0.093,0.165,0.04,S
81785,2.357,-82.09,0.98,-0.095,0.169,0.042,S
81836,2.408,325.22,0.978,-0.101,0.172,0.044,S
81894,2.466,179.83,0.977,-0.106,0.175,0.046,S
81944,2.516,122.03,0.977,-0.104,0.178,0.047,S
81994,2.566,225.62,0.977,-0.099,0.181,0.048,S
82044,2.616,237.93,0.976,-0.096,0.185,0.048,S
82094,2.666,276.41,0.976,-0.094,0.188,0.049,S
82144,2.716,263.71,0.975,-0.095,0.191,0.05,S
82194,2.766,276.82,0.974,-0.097,0.193,0.051,S
82254,2.826,340.06,0.973,-0.101,0.196,0.052,S
82304,2.876,350.24,0.972,-0.103,0.199,0.053,S
82354,2.926,438.99,0.972,-0.104,0.202,0.054,S
82404,2.976,422.15,0.971,-0.104,0.205,0.055,S
82454,3.026,553.14,0.97,-0.106,0.208,0.057,S
82504,3.076,656.78,0.969,-0.107,0.21,0.058,S
82555,3.127,725.34,0.968,-0.11,0.213,0.06,S
82613,3.185,775.79,0.967,-0.113,0.215,0.061,S
82663,3.235,748.05,0.967,-0.114,0.218,0.063,S
82713,3.285,858.32,0.966,-0.115,0.221,0.064,S
82763,3.335,855.69,0.965,-0.116,0.223,0.065,S
82813,3.385,817.16,0.964,-0.117,0.226,0.067,S
82863,3.435,903.19,0.963,-0.117,0.229,0.068,S
82913,3.485,804.46,0.963,-0.116,0.231,0.069,S
82972,3.544,-119.11,0.962,-0.113,0.234,0.069,S
83023,3.595,-143.29,0.962,-0.11,0.235,0.071,S
83073,3.645,-102.38,0.963,-0.111,0.232,0.075,S
83123,3.695,-81.54,0.964,-0.103,0.228,0.078,S
83173,3.745,-67.78,0.966,-0.086,0.226,0.078,S
83223,3.795,-39.7,0.967,-0.076,0.226,0.077,S
83273,3.845,-88.66,0.967,-0.077,0.226,0.076,S
83332,3.904,-28.75,0.966,-0.089,0.227,0.076,S
83382,3.954,-134.97,0.964,-0.104,0.229,0.075,S
83432,4.004,-49.57,0.962,-0.115,0.232,0.074,S
83482,4.054,-73.07,0.961,-0.12,0.235,0.073,S
83532,4.104,-60.04,0.96,-0.123,0.239,0.071,S
83582,4.154,-26.95,0.959,-0.125,0.243,0.071,S
83633,4.205,-59.02,0.957,-0.126,0.247,0.071,S
83691,4.263,-58.62,0.956,-0.125,0.251,0.073,S
83741,4.313,-55.08,0.956,-0.122,0.254,0.075,S
83791,4.363,-15.38,0.955,-0.12,0.258,0.078,S
83841,4.413,-45.83,0.954,-0.118,0.261,0.081,S
83891,4.463,-50.85,0.953,-0.117,0.263,0.084,S
83942,4.514,-89.86,0.952,-0.116,0.266,0.087,S
83992,4.564,-63.73,0.952,-0.115,0.268,0.089,S
84051,4.623,-66.36,0.951,-0.115,0.27,0.092,S
84101,4.673,-105.48,0.95,-0.115,0.273,0.094,S
84151,4.723,-91.14,0.949,-0.117,0.275,0.096,S
84201,4.773,-118.32,0.947,-0.119,0.278,0.098,S
84251,4.823,-58.77,0.946,-0.122,0.28,0.1,S
84301,4.873,-91.58,0.945,-0.122,0.283,0.1,S
84351,4.923,-107.14,0.944,-0.122,0.286,0.1,S
84410,4.982,-63.79,0.943,-0.124,0.289,0.1,S
84460,5.032,-64.95,0.942,-0.128,0.292,0.102,S
84510,5.082,-51.29,0.94,-0.131,0.295,0.103,S
84560,5.132,-107.14,0.939,-0.133,0.298,0.104,S
84610,5.182,-46.32,0.938,-0.134,0.301,0.106,S
84660,5.232,-106.65,0.937,-0.134,0.303,0.107,S
84710,5.282,-94.15,0.936,-0.135,0.305,0.108,S
84770,5.342,-89.77,0.935,-0.136,0.307,0.109,S
84820,5.392,-62.18,0.934,-0.139,0.31,0.11,S
84870,5.442,-112.69,0.932,-0.141,0.312,0.111,S
84920,5.492,-69.13,0.931,-0.142,0.314,0.112,S
84970,5.542,-104.02,0.93,-0.143,0.316,0.114,S
85020,5.592,-30.3,0.929,-0.144,0.319,0.115,S
85071,5.643,-92.31,0.927,-0.145,0.322,0.117,S
85129,5.701,-162.26,0.926,-0.145,0.324,0.119,S
85179,5.751,-143.92,0.925,-0.146,0.327,0.12,S
85229,5.801,-104.02,0.923,-0.148,0.33,0.123,S
85279,5.851,-78.29,0.921,-0.151,0.334,0.125,S
85329,5.901,-26.32,0.92,-0.153,0.337,0.127,S
85380,5.952,-45.54,0.918,-0.152,0.34,0.128,S
85430,6.002,-109.57,0.917,-0.153,0.344,0.129,S
85489,6.061,-76.05,0.915,-0.155,0.346,0.13,S
85539,6.111,-52.78,0.913,-0.159,0.349,0.132,S
85589,6.161,-63.11,0.912,-0.159,0.352,0.133,S
85639,6.211,-105.53,0.911,-0.153,0.356,0.132,S
85689,6.261,-104.31,0.911,-0.15,0.36,0.132,S
85739,6.311,0.93,0.909,-0.15,0.364,0.133,S
85790,6.362,4.43,0.907,-0.153,0.367,0.133,S
85848,6.42,-54.74,0.905,-0.155,0.37,0.134,S
85898,6.47,-123.98,0.904,-0.156,0.373,0.135,S
85948,6.52,-73.51,0.903,-0.156,0.375,0.136,S
85998,6.57,-59.9,0.902,-0.156,0.377,0.137,S
86048,6.62,-34.24,0.901,-0.157,0.378,0.138,S
86098,6.67,-96.54,0.9,-0.158,0.379,0.139,S
86149,6.721,-80.66,0.899,-0.16,0.381,0.141,S
86208,6.78,-89.97,0.898,-0.162,0.382,0.142,S
86258,6.83,-77.42,0.896,-0.165,0.384,0.144,S
86308,6.88,-83.73,0.895,-0.167,0.385,0.145,S
86358,6.93,-35.9,0.893,-0.169,0.388,0.147,S
86408,6.98,-67.05,0.892,-0.17,0.39,0.148,S
86458,7.03,-99.35,0.89,-0.172,0.392,0.15,S
86509,7.081,-48.08,0.889,-0.174,0.394,0.151,S
86567,7.139,-106.03,0.887,-0.175,0.396,0.152,S
86617,7.189,-91.9,0.886,-0.177,0.399,0.153,S
86667,7.239,-113.07,0.884,-0.179,0.401,0.154,S
86717,7.289,-107.29,0.883,-0.18,0.403,0.155,S
86767,7.339,-146.02,0.882,-0.182,0.405,0.156,S
86817,7.389,-64.28,0.88,-0.183,0.406,0.157,S
86867,7.439,-132.1,0.879,-0.184,0.408,0.158,S
86927,7.499,-108.45,0.878,-0.185,0.409,0.159,S
86977,7.549,-48.55,0.877,-0.186,0.411,0.16,S
87027,7.599,-138.47,0.876,-0.186,0.413,0.161,S
87077,7.649,-63.26,0.875,-0.186,0.414,0.163,S
87127,7.699,-46.18,0.874,-0.187,0.416,0.164,S
87177,7.749,-84.6,0.873,-0.188,0.417,0.166,S
87228,7.8,-15.71,0.871,-0.189,0.419,0.168,S
87286,7.858,-76.14,0.87,-0.191,0.421,0.169,S
87336,7.908,-63.2,0.868,-0.193,0.423,0.171,S
87386,7.958,-91.9,0.866,-0.195,0.426,0.173,S
87436,8.008,-58.68,0.863,-0.196,0.429,0.174,S
87486,8.058,-88.69,0.861,-0.198,0.433,0.176,S
87536,8.108,149.13,0.86,-0.199,0.434,0.177,S
87587,8.159,512.85,0.858,-0.201,0.437,0.178,S
87646,8.218,965.9,0.855,-0.206,0.438,0.181,S
87696,8.268,1389.81,0.853,-0.209,0.439,0.184,S
87746,8.318,1924.46,0.85,-0.216,0.441,0.188,S
87796,8.368,2286.38,0.846,-0.224,0.443,0.193,S
87846,8.418,2887.74,0.843,-0.227,0.446,0.194,S
87896,8.468,3477.03,0.84,-0.23,0.448,0.196,S
87947,8.519,4007.21,0.838,-0.233,0.451,0.197,S
88005,8.577,5037.31,0.836,-0.232,0.454,0.197,S
88055,8.627,5502.71,0.834,-0.232,0.459,0.198,S
88105,8.677,5947.4,0.829,-0.237,0.463,0.201,S
88155,8.727,6320.3,0.825,-0.241,0.466,0.204,S
88205,8.777,6886.1,0.821,-0.247,0.47,0.208,S
88255,8.827,7477.87,0.816,-0.253,0.473,0.211,S
88306,8.878,8242.05,0.813,-0.257,0.476,0.213,S
88364,8.936,9238.81,0.81,-0.257,0.479,0.214,S
88415,8.987,10170.9,0.807,-0.26,0.482,0.216,S
88465,9.037,12401.53,0.804,-0.266,0.484,0.219,S
88515,9.087,11588.64,0.801,-0.268,0.486,0.219,S
88565,9.137,12023.25,0.8,-0.266,0.489,0.219,S
88615,9.187,12049.04,0.798,-0.267,0.492,0.22,S
88666,9.238,12086.46,0.795,-0.268,0.495,0.221,S
88724,9.296,12271.61,0.794,-0.269,0.496,0.223,S
88774,9.346,12045.94,0.792,-0.27,0.498,0.224,S
88824,9.396,11738.02,0.79,-0.271,0.5,0.226,S
88874,9.446,11604.95,0.789,-0.271,0.502,0.226,S
88924,9.496,11335.08,0.788,-0.27,0.503,0.227,S
88974,9.546,11496.58,0.785,-0.273,0.504,0.229,S
89025,9.597,11532.73,0.783,-0.276,0.505,0.232,S
89083,9.655,11325.3,0.782,-0.276,0.506,0.232,S
89133,9.705,11221.71,0.781,-0.274,0.508,0.233,S
89183,9.755,11043.86,0.78,-0.275,0.509,0.235,S
89233,9.805,12252.29,0.778,-0.277,0.51,0.237,S
89283,9.855,11038.08,0.777,-0.275,0.511,0.238,S
89334,9.906,11005.96,0.776,-0.276,0.512,0.239,S
