Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
24467,0.0,39.27,0.999,0.0,0.003,0.002,S
24517,0.05,49.33,0.999,0.001,0.005,0.003,S
24567,0.1,90.17,0.999,0.001,0.008,0.005,S
24617,0.15,30.3,0.999,0.002,0.011,0.007,S
24667,0.2,59.46,0.999,0.003,0.014,0.008,S
24717,0.25,50.95,0.999,0.003,0.016,0.01,S
24767,0.3,61.01,0.999,0.003,0.019,0.011,S
24817,0.35,66.68,0.999,0.003,0.022,0.013,S
24867,0.4,42.11,0.999,0.003,0.025,0.014,S
24917,0.45,73.19,0.999,0.004,0.027,0.015,S
24967,0.5,71.19,0.999,0.004,0.03,0.017,S
25017,0.55,58.96,0.999,0.004,0.032,0.019,S
25068,0.601,52.83,0.999,0.004,0.034,0.02,S
25120,0.653,76.48,0.999,0.005,0.036,0.022,S
25171,0.704,80.03,0.998,0.006,0.04,0.024,S
25221,0.754,67.35,0.998,0.007,0.042,0.025,S
25272,0.805,56.29,0.998,0.006,0.043,0.026,S
25323,0.856,63.41,0.998,0.005,0.046,0.028,S
25373,0.906,35.2,0.998,0.004,0.048,0.03,S
25424,0.957,26.46,0.998,0.005,0.051,0.031,S
25475,1.008,26.46,0.997,0.006,0.054,0.033,S
25525,1.058,34.64,0.997,0.006,0.056,0.035,S
25576,1.109,67.08,0.997,0.007,0.059,0.036,S
25630,1.163,35.1,0.997,0.006,0.062,0.038,S
25681,1.214,31.43,0.996,0.006,0.066,0.04,S
25731,1.264,51.79,0.996,0.005,0.068,0.042,S
25782,1.315,43.44,0.996,0.006,0.071,0.043,S
25836,1.369,59.57,0.996,0.007,0.074,0.045,S
25887,1.42,55.4,0.995,0.007,0.079,0.047,S
25937,1.47,49.72,0.995,0.006,0.081,0.048,S
25988,1.521,60.63,0.995,0.005,0.083,0.049,S
26039,1.572,77.99,0.994,0.004,0.087,0.051,S
26089,1.622,97.22,0.994,0.004,0.089,0.052,S
26140,1.673,38.04,0.994,0.003,0.091,0.054,S
26194,1.727,38.04,0.994,0.003,0.093,0.055,S
26244,1.777,42.44,0.993,0.004,0.096,0.058,S
26294,1.827,60.07,0.993,0.005,0.098,0.059,S
26346,1.879,55.46,0.992,0.005,0.101,0.061,S
26397,1.93,21.52,0.992,0.006,0.104,0.063,S
26447,1.98,35.37,0.992,0.007,0.107,0.064,S
26498,2.031,40.48,0.991,0.008,0.109,0.065,S
26552,2.085,28.43,0.991,0.008,0.112,0.066,S
26603,2.136,42.82,0.99,0.007,0.116,0.067,S
26653,2.186,55.73,0.99,0.007,0.118,0.068,S
26703,2.236,55.73,0.989,0.006,0.121,0.07,S
26753,2.286,42.71,0.989,0.006,0.124,0.072,S
26803,2.336,53.96,0.989,0.006,0.126,0.073,S
26853,2.386,53.96,0.988,0.008,0.13,0.076,S
26903,2.436,88.44,0.988,0.008,0.132,0.077,S
26953,2.486,94.11,0.987,0.008,0.135,0.078,S
27019,2.552,72.92,0.987,0.007,0.137,0.08,S
27073,2.606,72.92,0.986,0.005,0.14,0.082,S
27127,2.66,91.44,0.986,0.004,0.142,0.084,S
27178,2.711,86.27,0.985,0.003,0.145,0.087,S
27228,2.761,65.47,0.984,0.001,0.147,0.088,S
27279,2.812,58.0,0.984,0.0,0.149,0.091,S
27330,2.863,85.6,0.983,-0.005,0.152,0.094,S
27380,2.913,63.13,0.983,-0.009,0.153,0.096,S
27431,2.964,51.33,0.982,-0.013,0.154,0.099,S
27485,3.018,79.43,0.982,-0.017,0.155,0.103,S
27536,3.069,44.88,0.981,-0.012,0.159,0.109,S
27586,3.119,75.19,0.98,-0.005,0.161,0.112,S
27637,3.17,20.62,0.979,0.003,0.164,0.115,S
27687,3.22,59.07,0.978,0.011,0.168,0.118,S
27737,3.27,50.72,0.977,0.013,0.171,0.121,S
27789,3.322,48.12,0.977,0.014,0.173,0.122,S
27843,3.376,46.99,0.976,0.016,0.175,0.122,S
27894,3.427,40.65,0.975,0.016,0.179,0.122,S
27944,3.477,23.75,0.975,0.015,0.182,0.122,S
27995,3.528,48.66,0.975,0.014,0.184,0.122,S
28046,3.579,52.16,0.974,0.014,0.188,0.122,S
28096,3.629,74.69,0.973,0.015,0.19,0.122,S
28147,3.68,104.46,0.973,0.016,0.193,0.123,S
28201,3.734,64.51,0.972,0.016,0.196,0.123,S
28252,3.785,59.67,0.971,0.012,0.199,0.125,S
28302,3.835,70.98,0.971,0.009,0.201,0.127,S
28353,3.886,37.1,0.97,0.007,0.203,0.128,S
28404,3.937,61.9,0.969,0.007,0.207,0.131,S
28454,3.987,86.5,0.968,0.008,0.209,0.132,S
28505,4.038,113.91,0.968,0.009,0.211,0.133,S
28559,4.092,88.94,0.967,0.011,0.213,0.134,S
28610,4.143,45.66,0.966,0.01,0.215,0.135,S
28660,4.193,54.23,0.966,0.007,0.217,0.136,S
28711,4.244,49.45,0.966,0.004,0.218,0.136,S
28762,4.295,56.96,0.965,0.0,0.22,0.137,S
28812,4.345,74.86,0.965,-0.001,0.222,0.138,S
28863,4.396,59.4,0.964,-0.001,0.223,0.139,S
28917,4.45,104.29,0.963,-0.001,0.225,0.141,S
28968,4.501,84.16,0.962,0.0,0.228,0.143,S
29018,4.551,118.04,0.962,0.0,0.23,0.144,S
29069,4.602,131.66,0.961,0.0,0.232,0.146,S
29120,4.653,121.08,0.96,0.0,0.234,0.148,S
29170,4.703,3756.67,0.959,0.0,0.236,0.149,S
29221,4.754,96.38,0.959,-0.001,0.238,0.151,S
29275,4.808,60.24,0.958,-0.002,0.24,0.152,S
29326,4.859,71.19,0.957,-0.003,0.243,0.154,S
29376,4.909,62.4,0.956,-0.004,0.244,0.156,S
29427,4.96,17.68,0.956,-0.005,0.246,0.157,S
29478,5.011,44.82,0.955,-0.006,0.249,0.16,S
29528,5.061,66.68,0.954,-0.006,0.251,0.161,S
29579,5.112,47.72,0.953,-0.006,0.253,0.162,S
29629,5.162,47.72,0.952,-0.008,0.256,0.165,S
29679,5.212,97.11,0.951,-0.009,0.258,0.166,S
29729,5.262,92.17,0.95,-0.009,0.259,0.167,S
29779,5.312,73.86,0.95,-0.01,0.261,0.169,S
29829,5.362,69.58,0.949,-0.01,0.264,0.17,S
29880,5.413,59.46,0.948,-0.011,0.266,0.172,S
29930,5.463,79.03,0.947,-0.012,0.267,0.173,S
29980,5.513,61.84,0.946,-0.013,0.269,0.175,S
30031,5.564,133.99,0.946,-0.013,0.271,0.176,S
30081,5.614,108.86,0.945,-0.014,0.273,0.177,S
30132,5.665,101.29,0.944,-0.015,0.274,0.178,S
30183,5.716,78.7,0.943,-0.017,0.276,0.18,S
30233,5.766,83.87,0.942,-0.017,0.278,0.181,S
30284,5.817,57.07,0.942,-0.018,0.28,0.182,S
30335,5.868,63.91,0.94,-0.021,0.282,0.185,S
30385,5.918,103.06,0.94,-0.022,0.284,0.186,S
30436,5.969,69.98,0.939,-0.022,0.285,0.187,S
30487,6.02,69.98,0.938,-0.023,0.288,0.189,S
30537,6.07,93.17,0.937,-0.024,0.29,0.191,S
30588,6.121,108.13,0.936,-0.025,0.292,0.192,S
30642,6.175,82.6,0.935,-0.026,0.294,0.194,S
30693,6.226,87.87,0.934,-0.027,0.297,0.196,S
30743,6.276,72.08,0.933,-0.027,0.299,0.197,S
30794,6.327,84.77,0.932,-0.027,0.3,0.198,S
30845,6.378,84.77,0.931,-0.028,0.303,0.2,S
30895,6.428,-838.52,0.93,-0.031,0.305,0.201,S
30946,6.479,54.33,0.929,-0.033,0.306,0.202,S
31000,6.533,58.23,0.928,-0.035,0.308,0.204,S
31051,6.584,132.76,0.926,-0.035,0.312,0.206,S
31101,6.634,59.57,0.925,-0.036,0.314,0.208,S
31152,6.685,105.73,0.924,-0.037,0.316,0.209,S
31206,6.739,83.7,0.922,-0.037,0.319,0.211,S
31257,6.79,103.85,0.921,-0.037,0.322,0.213,S
31307,6.84,82.2,0.92,-0.037,0.324,0.214,S
31358,6.891,64.74,0.919,-0.038,0.327,0.214,S
31409,6.942,78.59,0.917,-0.041,0.33,0.215,S
31459,6.992,956.61,0.916,-0.04,0.332,0.216,S
31510,7.043,887.25,0.916,-0.038,0.335,0.215,S
31564,7.097,1402.72,0.915,-0.036,0.338,0.215,S
31615,7.148,2084.55,0.913,-0.038,0.341,0.216,S
31665,7.198,2084.55,0.912,-0.038,0.344,0.216,S
31716,7.249,5433.39,0.911,-0.034,0.348,0.215,S
31767,7.3,6568.99,0.909,-0.032,0.354,0.215,S
31817,7.35,7980.18,0.907,-0.036,0.357,0.216,S
31868,7.401,9435.84,0.906,-0.043,0.359,0.218,S
31922,7.455,10957.0,0.904,-0.046,0.363,0.219,S
31973,7.506,12612.41,0.901,-0.043,0.369,0.219,S
