Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
26548,0.0,-80.28,0.999,0.0,0.002,0.001,S
26598,0.05,-172.39,0.999,0.0,0.005,0.002,S
26648,0.1,-152.25,0.999,-0.001,0.008,0.003,S
26698,0.15,-155.55,0.999,-0.002,0.011,0.005,S
26756,0.208,-110.35,0.999,-0.003,0.014,0.005,S
26806,0.258,-130.15,0.999,-0.003,0.017,0.006,S
26856,0.308,-97.45,0.999,-0.005,0.021,0.006,S
26906,0.358,-80.72,0.999,-0.007,0.024,0.007,S
26956,0.408,-131.61,0.999,-0.008,0.028,0.008,S
27006,0.458,-116.28,0.999,-0.009,0.032,0.009,S
27057,0.509,-180.18,0.999,-0.01,0.036,0.009,S
27115,0.567,-112.74,0.999,-0.011,0.039,0.01,S
27165,0.617,-102.47,0.998,-0.012,0.043,0.011,S
27215,0.667,-77.36,0.998,-0.013,0.046,0.012,S
27265,0.717,-138.58,0.998,-0.013,0.049,0.013,S
27315,0.767,-123.2,0.998,-0.013,0.052,0.014,S
27365,0.817,-140.95,0.998,-0.014,0.056,0.015,S
27416,0.868,-128.4,0.997,-0.015,0.059,0.017,S
27474,0.926,-95.02,0.997,-0.016,0.062,0.018,S
27524,0.976,-60.72,0.997,-0.016,0.066,0.02,S
27574,1.026,-142.56,0.997,-0.016,0.069,0.021,S
27624,1.076,-116.24,0.996,-0.016,0.072,0.022,S
27674,1.126,-89.09,0.996,-0.017,0.075,0.024,S
27725,1.177,-153.65,0.996,-0.017,0.078,0.025,S
27775,1.227,-112.39,0.996,-0.018,0.081,0.026,S
27834,1.286,-119.78,0.995,-0.018,0.084,0.027,S
27884,1.336,-89.86,0.995,-0.019,0.088,0.028,S
27934,1.386,-187.37,0.995,-0.022,0.091,0.03,S
27984,1.436,-71.91,0.994,-0.024,0.095,0.031,S
28034,1.486,-131.32,0.994,-0.024,0.098,0.032,S
28084,1.536,-123.78,0.993,-0.025,0.101,0.033,S
28134,1.586,-128.31,0.993,-0.025,0.103,0.034,S
28193,1.645,-130.29,0.993,-0.027,0.106,0.035,S
28243,1.695,-129.67,0.992,-0.029,0.109,0.035,S
28293,1.745,-129.13,0.992,-0.03,0.112,0.036,S
28343,1.795,-137.5,0.992,-0.032,0.115,0.037,S
28393,1.845,-70.41,0.991,-0.033,0.118,0.038,S
28443,1.895,-162.99,0.991,-0.034,0.122,0.039,S
28494,1.946,-120.08,0.99,-0.037,0.125,0.039,S
28552,2.004,-124.36,0.99,-0.04,0.128,0.04,S
28602,2.054,-192.53,0.989,-0.044,0.132,0.041,S
28652,2.104,-51.23,0.988,-0.047,0.135,0.042,S
28702,2.154,-92.98,0.988,-0.049,0.139,0.044,S
28752,2.204,-115.7,0.987,-0.048,0.142,0.045,S
28802,2.254,-110.88,0.987,-0.048,0.145,0.047,S
28853,2.305,-91.47,0.986,-0.047,0.147,0.048,S
28912,2.364,-81.65,0.986,-0.048,0.15,0.049,S
28962,2.414,-187.52,0.985,-0.049,0.154,0.05,S
29012,2.464,-153.94,0.984,-0.052,0.157,0.051,S
29062,2.514,-144.56,0.984,-0.055,0.16,0.053,S
29112,2.564,-132.74,0.983,-0.056,0.163,0.055,S
29162,2.614,-130.5,0.982,-0.055,0.166,0.057,S
29212,2.664,-130.5,0.982,-0.054,0.168,0.059,S
29271,2.723,-115.84,0.981,-0.055,0.171,0.06,S
29321,2.773,-149.27,0.98,-0.057,0.174,0.062,S
29371,2.823,-58.15,0.98,-0.058,0.177,0.063,S
29421,2.873,-160.18,0.979,-0.059,0.18,0.064,S
29471,2.923,-149.13,0.978,-0.06,0.183,0.065,S
29521,2.973,-142.85,0.978,-0.061,0.186,0.066,S
29572,3.024,-138.09,0.977,-0.063,0.188,0.067,S
29630,3.082,-161.39,0.977,-0.064,0.191,0.068,S
29680,3.132,-87.73,0.976,-0.065,0.194,0.069,S
29730,3.182,-116.87,0.975,-0.066,0.197,0.07,S
29780,3.232,-87.58,0.974,-0.069,0.2,0.071,S
29830,3.282,-199.34,0.973,-0.073,0.203,0.073,S
29880,3.332,-229.23,0.972,-0.074,0.205,0.074,S
29931,3.383,-122.12,0.972,-0.073,0.208,0.076,S
29989,3.441,-106.5,0.971,-0.071,0.21,0.078,S
30040,3.492,-116.77,0.971,-0.07,0.212,0.08,S
30090,3.542,-81.1,0.97,-0.069,0.214,0.082,S
30140,3.592,-100.48,0.97,-0.07,0.216,0.083,S
30190,3.642,-101.65,0.969,-0.071,0.219,0.085,S
30240,3.692,-115.99,0.968,-0.072,0.221,0.086,S
30291,3.743,-75.52,0.967,-0.073,0.224,0.087,S
30349,3.801,-139.02,0.967,-0.074,0.226,0.087,S
30399,3.851,-115.99,0.966,-0.075,0.229,0.088,S
30449,3.901,-88.45,0.965,-0.078,0.232,0.089,S
30499,3.951,-54.01,0.964,-0.08,0.236,0.089,S
30549,4.001,-194.19,0.963,-0.083,0.239,0.09,S
30599,4.051,-88.22,0.961,-0.085,0.243,0.09,S
30649,4.101,-55.12,0.96,-0.086,0.246,0.091,S
30708,4.16,-132.16,0.959,-0.088,0.25,0.092,S
30758,4.21,-152.77,0.958,-0.088,0.253,0.094,S
30808,4.26,-63.64,0.957,-0.088,0.256,0.095,S
30858,4.31,-178.52,0.956,-0.087,0.259,0.097,S
30908,4.36,-151.42,0.956,-0.087,0.261,0.098,S
30958,4.41,-109.57,0.955,-0.088,0.264,0.099,S
31009,4.461,-119.35,0.954,-0.09,0.266,0.099,S
31067,4.519,-150.93,0.953,-0.091,0.268,0.1,S
31117,4.569,-151.57,0.952,-0.093,0.27,0.101,S
31167,4.619,-160.42,0.951,-0.094,0.272,0.101,S
31217,4.669,-166.61,0.95,-0.096,0.275,0.102,S
31267,4.719,-109.86,0.95,-0.098,0.277,0.103,S
31318,4.77,-125.68,0.949,-0.099,0.28,0.104,S
31368,4.82,-69.28,0.948,-0.1,0.282,0.105,S
31427,4.879,-142.76,0.947,-0.101,0.285,0.106,S
31477,4.929,-105.63,0.946,-0.102,0.287,0.107,S
31527,4.979,-112.05,0.944,-0.104,0.29,0.109,S
31577,5.029,-113.07,0.943,-0.106,0.293,0.11,S
31627,5.079,-109.04,0.942,-0.107,0.296,0.111,S
