Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
26946,0.0,0.0,0.999,0.0,0.0,0.0,S
26996,0.05,102.45,0.999,-0.001,0.001,0.001,S
27047,0.101,180.72,0.999,-0.002,0.003,0.002,S
27097,0.151,153.95,0.999,-0.004,0.005,0.003,S
27147,0.201,101.35,0.999,-0.004,0.007,0.004,S
27197,0.251,172.64,0.999,-0.003,0.011,0.005,S
27247,0.301,175.31,0.999,-0.001,0.015,0.007,S
27297,0.351,126.92,0.999,-0.001,0.018,0.009,S
27347,0.401,168.76,0.999,-0.001,0.021,0.011,S
27397,0.451,155.19,0.999,0.0,0.025,0.014,S
27448,0.502,132.76,0.999,0.001,0.028,0.017,S
27498,0.552,168.97,0.999,0.001,0.031,0.019,S
27548,0.602,139.9,0.999,0.001,0.034,0.021,S
27599,0.653,132.49,0.999,0.0,0.037,0.023,S
27649,0.703,180.15,0.998,0.0,0.039,0.024,S
27700,0.754,169.7,0.998,0.0,0.042,0.026,S
27751,0.805,139.5,0.998,0.0,0.045,0.028,S
27801,0.855,162.3,0.998,0.0,0.047,0.029,S
27851,0.905,162.3,0.998,0.001,0.05,0.031,S
27901,0.955,114.87,0.998,0.0,0.052,0.032,S
27951,1.005,148.68,0.997,0.0,0.053,0.033,S
28001,1.055,148.68,0.997,-0.001,0.056,0.035,S
28051,1.105,148.68,0.997,-0.002,0.058,0.035,S
28101,1.155,124.42,0.997,-0.003,0.059,0.037,S
28151,1.205,152.52,0.997,-0.004,0.061,0.038,S
28201,1.255,185.99,0.997,-0.004,0.064,0.04,S
28252,1.306,171.98,0.996,-0.004,0.067,0.042,S
28302,1.356,142.0,0.996,-0.003,0.07,0.043,S
28352,1.406,175.71,0.996,-0.002,0.073,0.045,S
28403,1.457,154.12,0.996,-0.003,0.075,0.047,S
28453,1.507,153.25,0.995,-0.005,0.075,0.049,S
28503,1.557,163.36,0.995,-0.006,0.076,0.051,S
28553,1.607,128.38,0.995,-0.006,0.077,0.055,S
28604,1.658,151.35,0.995,-0.006,0.079,0.058,S
28654,1.708,174.48,0.994,-0.006,0.08,0.06,S
28704,1.758,161.8,0.994,-0.006,0.083,0.063,S
28755,1.809,133.6,0.994,-0.006,0.085,0.066,S
28805,1.859,151.18,0.993,-0.006,0.087,0.067,S
28855,1.909,151.24,0.993,-0.005,0.09,0.069,S
28905,1.959,120.48,0.992,-0.006,0.094,0.071,S
28956,2.01,155.29,0.992,-0.006,0.097,0.073,S
29006,2.06,130.22,0.992,-0.007,0.1,0.074,S
