AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,78824,0.0,0.999,0.0,0.0,0.0,80338,0.0,0.999,0.0,0.0,0.0
0.05,78874,-134.82,0.999,-0.002,0.003,0.004,80388,137.43,0.999,0.001,0.0,0.004
0.1005,78924,-70.7,0.999,-0.003,0.007,0.007,80439,132.55,0.999,0.002,0.0,0.008
0.1505,78974,-142.56,0.999,-0.006,0.011,0.009,80489,89.21,0.999,0.001,0.0,0.012
0.2005,79024,-176.13,0.999,-0.01,0.014,0.01,80539,156.52,0.999,0.0,0.0,0.019
0.254,79081,-156.19,0.999,-0.014,0.016,0.01,80589,172.1,0.999,0.0,0.0,0.023
0.3045,79131,-154.05,0.999,-0.02,0.017,0.009,80640,167.2,0.999,0.0,0.001,0.026
0.3545,79181,-170.98,0.999,-0.027,0.017,0.007,80690,167.2,0.999,-0.002,0.004,0.031
0.40449999999999997,79231,-65.88,0.999,-0.031,0.017,0.004,80740,136.93,0.999,-0.003,0.007,0.033
0.4545,79281,-200.91,0.999,-0.033,0.017,0.002,80790,116.91,0.999,-0.005,0.011,0.034
0.5055000000000001,79332,-129.04,0.999,-0.033,0.016,-0.001,80841,141.94,0.999,-0.01,0.016,0.035
0.556,79383,-147.08,0.999,-0.032,0.014,-0.004,80891,93.17,0.998,-0.023,0.024,0.038
0.61,79441,-150.11,0.999,-0.029,0.012,-0.007,80941,111.13,0.998,-0.03,0.029,0.04
0.66,79491,-183.72,0.999,-0.028,0.011,-0.01,80991,114.74,0.997,-0.031,0.035,0.042
0.7104999999999999,79541,-178.96,0.999,-0.029,0.011,-0.012,81042,140.61,0.997,-0.025,0.045,0.047
0.7605,79591,-103.64,0.999,-0.029,0.011,-0.014,81092,102.22,0.997,-0.021,0.051,0.051
0.8105,79641,-155.11,0.999,-0.029,0.013,-0.015,81142,114.7,0.996,-0.02,0.057,0.056
0.861,79691,-103.4,0.999,-0.03,0.016,-0.014,81193,134.1,0.995,-0.022,0.062,0.062
0.9115,79742,-146.5,0.999,-0.028,0.017,-0.013,81243,89.1,0.994,-0.027,0.068,0.069
0.9655,79800,-98.33,0.999,-0.026,0.019,-0.012,81293,92.38,0.994,-0.03,0.072,0.075
1.0154999999999998,79850,-243.1,0.999,-0.026,0.022,-0.01,81343,108.73,0.993,-0.031,0.076,0.082
1.066,79900,-161.79,0.999,-0.027,0.026,-0.006,81394,106.63,0.991,-0.024,0.084,0.093
1.116,79950,-163.98,0.999,-0.023,0.029,-0.002,81444,150.41,0.99,-0.018,0.088,0.1
1.166,80000,-173.85,0.999,-0.018,0.034,0.001,81494,133.99,0.989,-0.012,0.092,0.107
1.217,80051,-207.28,0.998,-0.02,0.039,0.006,81545,129.38,0.988,-0.006,0.097,0.114
1.267,80101,-176.68,0.998,-0.022,0.044,0.01,81595,133.49,0.987,0.0,0.101,0.121
1.3215,80160,-177.26,0.998,-0.022,0.048,0.013,81645,149.28,0.986,0.002,0.103,0.124
1.3715,80210,-169.09,0.998,-0.025,0.054,0.015,81695,92.05,0.986,0.002,0.105,0.126
1.422,80260,-163.28,0.997,-0.03,0.058,0.016,81746,92.05,0.986,-0.001,0.107,0.126
1.472,80310,-184.3,0.997,-0.031,0.062,0.016,81796,124.65,0.986,-0.005,0.107,0.125
1.5225,80360,-60.28,0.997,-0.03,0.066,0.016,81847,89.21,0.986,-0.009,0.108,0.124
1.5745,80410,-143.54,0.996,-0.033,0.07,0.015,81901,85.6,0.986,-0.014,0.11,0.121
1.6255000000000002,80461,-129.04,0.996,-0.037,0.074,0.014,81952,113.4,0.986,-0.017,0.112,0.116
1.6795,80519,-149.82,0.996,-0.039,0.078,0.012,82002,93.38,0.986,-0.018,0.115,0.114
1.73,80569,-200.65,0.995,-0.04,0.082,0.01,82053,125.65,0.986,-0.016,0.118,0.111
