AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,26548,-80.28,0.999,0.0,0.002,0.001,24467,39.27,0.999,0.0,0.003,0.002
0.05,26598,-172.39,0.999,0.0,0.005,0.002,24517,49.33,0.999,0.001,0.005,0.003
0.1,26648,-152.25,0.999,-0.001,0.008,0.003,24567,90.17,0.999,0.001,0.008,0.005
0.15,26698,-155.55,0.999,-0.002,0.011,0.005,24617,30.3,0.999,0.002,0.011,0.007
0.20400000000000001,26756,-110.35,0.999,-0.003,0.014,0.005,24667,59.46,0.999,0.003,0.014,0.008
0.254,26806,-130.15,0.999,-0.003,0.017,0.006,24717,50.95,0.999,0.003,0.016,0.01
0.304,26856,-97.45,0.999,-0.005,0.021,0.006,24767,61.01,0.999,0.003,0.019,0.011
0.354,26906,-80.72,0.999,-0.007,0.024,0.007,24817,66.68,0.999,0.003,0.022,0.013
0.404,26956,-131.61,0.999,-0.008,0.028,0.008,24867,42.11,0.999,0.003,0.025,0.014
0.454,27006,-116.28,0.999,-0.009,0.032,0.009,24917,73.19,0.999,0.004,0.027,0.015
0.5045,27057,-180.18,0.999,-0.01,0.036,0.009,24967,71.19,0.999,0.004,0.03,0.017
0.5585,27115,-112.74,0.999,-0.011,0.039,0.01,25017,58.96,0.999,0.004,0.032,0.019
0.609,27165,-102.47,0.998,-0.012,0.043,0.011,25068,52.83,0.999,0.004,0.034,0.02
0.66,27215,-77.36,0.998,-0.013,0.046,0.012,25120,76.48,0.999,0.005,0.036,0.022
0.7104999999999999,27265,-138.58,0.998,-0.013,0.049,0.013,25171,80.03,0.998,0.006,0.04,0.024
0.7605,27315,-123.2,0.998,-0.013,0.052,0.014,25221,67.35,0.998,0.007,0.042,0.025
0.8109999999999999,27365,-140.95,0.998,-0.014,0.056,0.015,25272,56.29,0.998,0.006,0.043,0.026
0.862,27416,-128.4,0.997,-0.015,0.059,0.017,25323,63.41,0.998,0.005,0.046,0.028
0.916,27474,-95.02,0.997,-0.016,0.062,0.018,25373,35.2,0.998,0.004,0.048,0.03
0.9664999999999999,27524,-60.72,0.997,-0.016,0.066,0.02,25424,26.46,0.998,0.005,0.051,0.031
1.017,27574,-142.56,0.997,-0.016,0.069,0.021,25475,26.46,0.997,0.006,0.054,0.033
1.0670000000000002,27624,-116.24,0.996,-0.016,0.072,0.022,25525,34.64,0.997,0.006,0.056,0.035
1.1175,27674,-89.09,0.996,-0.017,0.075,0.024,25576,67.08,0.997,0.007,0.059,0.036
1.17,27725,-153.65,0.996,-0.017,0.078,0.025,25630,35.1,0.997,0.006,0.062,0.038
1.2205,27775,-112.39,0.996,-0.018,0.081,0.026,25681,31.43,0.996,0.006,0.066,0.04
1.275,27834,-119.78,0.995,-0.018,0.084,0.027,25731,51.79,0.996,0.005,0.068,0.042
1.3255,27884,-89.86,0.995,-0.019,0.088,0.028,25782,43.44,0.996,0.006,0.071,0.043
1.3775,27934,-187.37,0.995,-0.022,0.091,0.03,25836,59.57,0.996,0.007,0.074,0.045
1.428,27984,-71.91,0.994,-0.024,0.095,0.031,25887,55.4,0.995,0.007,0.079,0.047
1.478,28034,-131.32,0.994,-0.024,0.098,0.032,25937,49.72,0.995,0.006,0.081,0.048
1.5285,28084,-123.78,0.993,-0.025,0.101,0.033,25988,60.63,0.995,0.005,0.083,0.049
1.5790000000000002,28134,-128.31,0.993,-0.025,0.103,0.034,26039,77.99,0.994,0.004,0.087,0.051
1.6335000000000002,28193,-130.29,0.993,-0.027,0.106,0.035,26089,97.22,0.994,0.004,0.089,0.052
1.6840000000000002,28243,-129.67,0.992,-0.029,0.109,0.035,26140,38.04,0.994,0.003,0.091,0.054
1.7360000000000002,28293,-129.13,0.992,-0.03,0.112,0.036,26194,38.04,0.994,0.003,0.093,0.055
1.786,28343,-137.5,0.992,-0.032,0.115,0.037,26244,42.44,0.993,0.004,0.096,0.058
1.8359999999999999,28393,-70.41,0.991,-0.033,0.118,0.038,26294,60.07,0.993,0.005,0.098,0.059
1.887,28443,-162.99,0.991,-0.034,0.122,0.039,26346,55.46,0.992,0.005,0.101,0.061
1.938,28494,-120.08,0.99,-0.037,0.125,0.039,26397,21.52,0.992,0.006,0.104,0.063
1.992,28552,-124.36,0.99,-0.04,0.128,0.04,26447,35.37,0.992,0.007,0.107,0.064
2.0425,28602,-192.53,0.989,-0.044,0.132,0.041,26498,40.48,0.991,0.008,0.109,0.065
2.0945,28652,-51.23,0.988,-0.047,0.135,0.042,26552,28.43,0.991,0.008,0.112,0.066
2.145,28702,-92.98,0.988,-0.049,0.139,0.044,26603,42.82,0.99,0.007,0.116,0.067
2.1950000000000003,28752,-115.7,0.987,-0.048,0.142,0.045,26653,55.73,0.99,0.007,0.118,0.068
2.245,28802,-110.88,0.987,-0.048,0.145,0.047,26703,55.73,0.989,0.006,0.121,0.07
2.2955,28853,-91.47,0.986,-0.047,0.147,0.048,26753,42.71,0.989,0.006,0.124,0.072
2.3499999999999996,28912,-81.65,0.986,-0.048,0.15,0.049,26803,53.96,0.989,0.006,0.126,0.073
2.4000000000000004,28962,-187.52,0.985,-0.049,0.154,0.05,26853,53.96,0.988,0.008,0.13,0.076
2.45,29012,-153.94,0.984,-0.052,0.157,0.051,26903,88.44,0.988,0.008,0.132,0.077
2.5,29062,-144.56,0.984,-0.055,0.16,0.053,26953,94.11,0.987,0.008,0.135,0.078
