Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
58305,0.0,0.0,0.999,0.0,0.0,0.0,S
58355,0.05,-90.88,0.999,-0.001,-0.001,0.001,S
58405,0.1,-115.11,0.999,-0.003,-0.003,0.002,S
58455,0.15,-99.84,0.999,-0.003,-0.005,0.004,S
58505,0.2,-129.24,0.999,-0.004,-0.007,0.004,S
58556,0.251,-55.17,0.999,-0.006,-0.009,0.005,S
58614,0.309,-124.71,0.999,-0.007,-0.01,0.006,S
58664,0.359,-101.83,0.999,-0.008,-0.012,0.007,S
58714,0.409,-104.22,0.999,-0.009,-0.014,0.008,S
58764,0.459,-49.19,0.999,-0.01,-0.017,0.009,S
58814,0.509,-143.4,0.999,-0.012,-0.021,0.011,S
58864,0.559,-72.05,0.999,-0.013,-0.025,0.012,S
58915,0.61,-88.36,0.999,-0.015,-0.029,0.013,S
58973,0.668,-118.18,0.999,-0.017,-0.033,0.014,S
59023,0.718,-52.69,0.998,-0.019,-0.038,0.016,S
59073,0.768,-111.72,0.998,-0.02,-0.041,0.017,S
59123,0.818,-44.72,0.998,-0.023,-0.045,0.019,S
59173,0.868,-97.16,0.998,-0.024,-0.049,0.02,S
59224,0.919,-56.92,0.998,-0.024,-0.053,0.022,S
59274,0.969,-56.92,0.997,-0.023,-0.056,0.024,S
59333,1.028,-77.51,0.997,-0.024,-0.059,0.026,S
59383,1.078,-112.19,0.997,-0.026,-0.062,0.028,S
59433,1.128,-89.68,0.996,-0.03,-0.066,0.03,S
59483,1.178,-93.76,0.996,-0.038,-0.069,0.031,S
59533,1.228,-120.19,0.995,-0.042,-0.072,0.032,S
59583,1.278,-108.16,0.995,-0.044,-0.074,0.034,S
59633,1.328,-94.2,0.995,-0.048,-0.077,0.034,S
59692,1.387,-86.06,0.994,-0.05,-0.08,0.034,S
59742,1.437,-128.07,0.994,-0.051,-0.084,0.035,S
59792,1.487,-51.09,0.993,-0.054,-0.088,0.034,S
59842,1.537,-57.95,0.993,-0.056,-0.092,0.034,S
59892,1.587,-24.17,0.993,-0.057,-0.096,0.034,S
59942,1.637,-135.81,0.992,-0.058,-0.1,0.034,S
59993,1.688,-46.41,0.992,-0.058,-0.104,0.033,S
60051,1.746,-90.41,0.991,-0.058,-0.108,0.033,S
60101,1.796,-108.51,0.991,-0.059,-0.113,0.032,S
60151,1.846,-94.59,0.99,-0.06,-0.117,0.032,S
60201,1.896,-124.13,0.99,-0.06,-0.12,0.032,S
60251,1.946,-104.07,0.989,-0.06,-0.124,0.032,S
60301,1.996,-82.12,0.989,-0.06,-0.128,0.032,S
60352,2.047,-95.9,0.988,-0.061,-0.131,0.032,S
60411,2.106,-99.17,0.988,-0.061,-0.134,0.032,S
60461,2.156,-99.9,0.988,-0.061,-0.137,0.032,S
60511,2.206,-142.76,0.987,-0.062,-0.14,0.032,S
60561,2.256,-81.79,0.987,-0.063,-0.143,0.033,S
60611,2.306,-78.47,0.986,-0.063,-0.145,0.035,S
60661,2.356,-90.59,0.986,-0.064,-0.147,0.037,S
60712,2.407,-83.55,0.985,-0.066,-0.15,0.039,S
60770,2.465,-76.25,0.985,-0.066,-0.152,0.041,S
60820,2.515,-87.49,0.984,-0.067,-0.154,0.043,S
60870,2.565,-75.96,0.984,-0.068,-0.156,0.045,S
60920,2.615,-108.6,0.983,-0.067,-0.159,0.046,S
