Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
30326,0.0,0.0,0.999,0.0,0.0,0.0,S
30377,0.051,-175.55,0.999,0.001,0.003,0.001,S
30428,0.102,-189.91,0.999,0.002,0.007,0.003,S
30479,0.153,-198.03,0.999,0.001,0.01,0.004,S
30537,0.211,-193.79,0.999,0.001,0.013,0.004,S
30587,0.261,-158.47,0.999,0.0,0.017,0.005,S
30637,0.311,-199.78,0.999,-0.001,0.02,0.005,S
30687,0.361,-219.74,0.999,-0.002,0.023,0.005,S
30737,0.411,-173.56,0.999,-0.004,0.026,0.006,S
30787,0.461,-204.16,0.999,-0.006,0.028,0.006,S
30838,0.512,-177.99,0.999,-0.008,0.03,0.006,S
30897,0.571,-168.54,0.999,-0.01,0.033,0.006,S
30947,0.621,-198.96,0.999,-0.014,0.036,0.006,S
30997,0.671,-181.06,0.998,-0.016,0.041,0.007,S
31047,0.721,-198.46,0.998,-0.019,0.045,0.008,S
31097,0.771,-227.95,0.998,-0.019,0.048,0.009,S
31147,0.821,-196.97,0.998,-0.02,0.052,0.01,S
31198,0.872,-173.65,0.998,-0.021,0.054,0.011,S
31256,0.93,-202.37,0.998,-0.022,0.057,0.011,S
31306,0.98,12572.21,0.997,-0.022,0.06,0.013,S
31356,1.03,-192.24,0.997,-0.024,0.063,0.014,S
31406,1.08,-154.82,0.997,-0.026,0.066,0.015,S
31456,1.13,-170.88,0.996,-0.03,0.07,0.016,S
31506,1.18,-209.23,0.996,-0.033,0.073,0.018,S
31557,1.231,-180.66,0.996,-0.034,0.076,0.02,S
31615,1.289,-212.59,0.996,-0.034,0.079,0.021,S
31666,1.34,-184.45,0.995,-0.034,0.081,0.023,S
31716,1.39,-186.6,0.995,-0.036,0.083,0.026,S
31766,1.44,-189.61,0.995,-0.038,0.086,0.028,S
31816,1.49,-149.56,0.994,-0.039,0.088,0.03,S
31866,1.54,-185.67,0.994,-0.04,0.091,0.033,S
31917,1.591,-208.54,0.994,-0.04,0.095,0.034,S
31975,1.649,-224.45,0.993,-0.041,0.097,0.036,S
32025,1.699,-201.88,0.993,-0.042,0.101,0.037,S
32075,1.749,-201.88,0.992,-0.044,0.105,0.038,S
32125,1.799,-212.62,0.992,-0.045,0.109,0.039,S
32175,1.849,-176.09,0.991,-0.045,0.114,0.04,S
32225,1.899,-201.06,0.99,-0.047,0.119,0.041,S
32276,1.95,-175.36,0.99,-0.051,0.123,0.043,S
32334,2.008,-177.94,0.989,-0.053,0.126,0.044,S
32384,2.058,-181.39,0.988,-0.054,0.13,0.045,S
32434,2.108,-193.76,0.988,-0.054,0.133,0.047,S
32484,2.158,-197.7,0.987,-0.056,0.136,0.048,S
32534,2.208,-192.04,0.987,-0.057,0.14,0.05,S
32585,2.259,-176.42,0.986,-0.06,0.143,0.051,S
32636,2.31,-201.58,0.985,-0.063,0.147,0.053,S
32694,2.368,-190.4,0.985,-0.064,0.149,0.054,S
32744,2.418,-205.47,0.984,-0.064,0.152,0.056,S
32794,2.468,-153.94,0.984,-0.063,0.155,0.057,S
32844,2.518,-207.13,0.983,-0.065,0.157,0.058,S
32894,2.568,-151.31,0.982,-0.069,0.16,0.058,S
32944,2.618,-175.89,0.982,-0.073,0.162,0.058,S
32995,2.669,-177.26,0.981,-0.076,0.165,0.058,S
33053,2.727,-137.16,0.98,-0.077,0.168,0.059,S
33103,2.777,-188.59,0.98,-0.078,0.171,0.059,S
33153,2.827,-175.11,0.979,-0.08,0.174,0.059,S
33203,2.877,-186.35,0.978,-0.083,0.178,0.059,S
33253,2.927,-151.86,0.977,-0.085,0.181,0.059,S
33303,2.977,-173.7,0.977,-0.085,0.184,0.059,S
33354,3.028,-185.58,0.976,-0.085,0.188,0.06,S
33413,3.087,-130.79,0.976,-0.085,0.19,0.06,S
33463,3.137,-180.04,0.975,-0.086,0.193,0.06,S
33513,3.187,-184.94,0.974,-0.087,0.196,0.061,S
33563,3.237,-163.34,0.973,-0.088,0.199,0.062,S
33613,3.287,-244.12,0.973,-0.089,0.202,0.063,S
33663,3.337,-162.41,0.972,-0.09,0.205,0.064,S
33714,3.388,-195.31,0.971,-0.091,0.207,0.065,S
33772,3.446,-184.65,0.971,-0.091,0.209,0.066,S
33822,3.496,-196.18,0.97,-0.091,0.212,0.066,S
33872,3.546,-179.63,0.969,-0.093,0.214,0.068,S
33922,3.596,-192.44,0.969,-0.095,0.216,0.069,S
33972,3.646,-144.65,0.968,-0.096,0.219,0.071,S
34022,3.696,-150.29,0.967,-0.095,0.221,0.073,S
34073,3.747,-151.72,0.967,-0.093,0.224,0.075,S
34131,3.805,-184.8,0.966,-0.092,0.227,0.076,S
34182,3.856,-149.13,0.965,-0.092,0.23,0.078,S
34232,3.906,-142.12,0.964,-0.094,0.234,0.08,S
34282,3.956,-150.29,0.963,-0.096,0.237,0.082,S
34332,4.006,-200.8,0.961,-0.098,0.241,0.083,S
34382,4.056,-205.47,0.96,-0.099,0.244,0.084,S
34433,4.107,-217.79,0.959,-0.101,0.247,0.085,S
34491,4.165,-194.92,0.958,-0.103,0.249,0.086,S
