Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
19910,0.0,0.0,0.999,-0.001,0.0,0.0,S
19961,0.051,573.76,0.999,-0.012,0.002,0.005,S
20011,0.101,99.22,0.999,-0.023,0.007,0.011,S
20061,0.151,122.25,0.999,-0.01,0.013,0.017,S
20111,0.201,81.82,0.999,0.02,0.02,0.023,S
20161,0.251,130.55,0.998,0.04,0.027,0.027,S
20211,0.301,121.37,0.998,0.024,0.03,0.028,S
20261,0.351,134.83,0.999,0.008,0.032,0.028,S
20311,0.401,71.65,0.999,0.001,0.034,0.027,S
20362,0.452,2846.42,0.998,0.01,0.038,0.026,S
20412,0.502,102.85,0.998,0.018,0.04,0.026,S
20462,0.552,124.42,0.998,0.024,0.043,0.026,S
20512,0.602,124.42,0.998,0.027,0.047,0.026,S
20562,0.652,132.39,0.997,0.027,0.05,0.026,S
20612,0.702,108.69,0.997,0.029,0.053,0.025,S
20662,0.752,140.44,0.997,0.033,0.056,0.025,S
20712,0.802,113.2,0.997,0.033,0.062,0.024,S
20762,0.852,108.13,0.997,0.03,0.066,0.024,S
20812,0.902,118.64,0.996,0.025,0.07,0.024,S
20863,0.953,103.73,0.996,0.02,0.074,0.025,S
20914,1.004,130.05,0.996,0.017,0.081,0.027,S
20964,1.054,158.13,0.995,0.017,0.085,0.029,S
21014,1.104,158.13,0.995,0.019,0.089,0.033,S
21064,1.154,100.01,0.994,0.02,0.092,0.036,S
21114,1.204,105.06,0.994,0.021,0.094,0.039,S
21164,1.254,105.06,0.993,0.026,0.097,0.043,S
21214,1.304,112.9,0.993,0.029,0.099,0.045,S
21264,1.354,129.05,0.993,0.031,0.1,0.047,S
21330,1.42,119.08,0.992,0.033,0.103,0.048,S
21384,1.474,85.77,0.992,0.032,0.105,0.05,S
21438,1.528,118.7,0.992,0.031,0.107,0.051,S
21489,1.579,99.18,0.992,0.03,0.109,0.053,S
21539,1.629,117.08,0.991,0.03,0.111,0.054,S
21590,1.68,99.28,0.991,0.032,0.112,0.056,S
21641,1.731,104.96,0.99,0.04,0.116,0.059,S
21691,1.781,117.97,0.99,0.045,0.118,0.06,S
21742,1.832,90.84,0.989,0.047,0.121,0.061,S
21796,1.886,99.18,0.989,0.044,0.125,0.063,S
21847,1.937,112.63,0.988,0.038,0.13,0.065,S
21897,1.987,78.76,0.988,0.035,0.134,0.066,S
21948,2.038,136.93,0.987,0.033,0.137,0.067,S
21999,2.089,133.16,0.986,0.03,0.142,0.07,S
22049,2.139,104.62,0.986,0.029,0.145,0.072,S
22100,2.19,112.9,0.985,0.029,0.148,0.074,S
22154,2.244,123.71,0.984,0.031,0.152,0.077,S
22205,2.295,87.77,0.983,0.031,0.157,0.081,S
22255,2.345,118.91,0.982,0.031,0.16,0.083,S
22305,2.395,118.91,0.982,0.031,0.163,0.086,S
22355,2.445,135.89,0.981,0.028,0.164,0.088,S
22405,2.495,91.27,0.981,0.025,0.166,0.09,S
