Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
25168,0.0,184.62,0.999,-0.004,0.005,0.004,S
25218,0.05,151.62,0.999,-0.006,0.008,0.007,S
25268,0.1,151.74,0.999,-0.008,0.012,0.009,S
25318,0.15,174.98,0.999,-0.009,0.016,0.012,S
25368,0.2,137.1,0.999,-0.012,0.019,0.013,S
25418,0.25,142.61,0.999,-0.014,0.022,0.014,S
25468,0.3,167.3,0.999,-0.012,0.025,0.014,S
25518,0.35,147.74,0.999,-0.008,0.028,0.014,S
25569,0.401,164.8,0.999,-0.006,0.03,0.013,S
25619,0.451,158.25,0.999,-0.005,0.031,0.012,S
25669,0.501,124.92,0.999,-0.004,0.032,0.01,S
25720,0.552,147.24,0.999,0.0,0.032,0.008,S
25770,0.602,138.33,0.999,0.005,0.032,0.005,S
25820,0.652,138.33,0.999,0.011,0.032,0.001,S
25870,0.702,105.79,0.999,0.014,0.033,0.0,S
25921,0.753,170.48,0.999,0.018,0.034,-0.003,S
25973,0.805,159.63,0.999,0.022,0.035,-0.006,S
26024,0.856,148.07,0.998,0.031,0.036,-0.011,S
26074,0.906,133.22,0.998,0.033,0.038,-0.013,S
26125,0.957,131.22,0.998,0.035,0.04,-0.016,S
26179,1.011,119.41,0.998,0.035,0.043,-0.017,S
26230,1.062,165.64,0.997,0.039,0.046,-0.016,S
26280,1.112,144.34,0.997,0.04,0.049,-0.015,S
26331,1.163,130.49,0.997,0.039,0.052,-0.014,S
26382,1.214,170.87,0.997,0.038,0.059,-0.01,S
26432,1.264,149.91,0.997,0.037,0.063,-0.007,S
26483,1.315,111.57,0.997,0.037,0.067,-0.004,S
26537,1.369,121.14,0.996,0.035,0.072,0.0,S
26588,1.42,116.47,0.996,0.034,0.079,0.008,S
26638,1.47,133.39,0.995,0.033,0.082,0.013,S
26688,1.52,133.39,0.995,0.029,0.088,0.021,S
26738,1.57,128.72,0.995,0.022,0.091,0.027,S
26788,1.62,95.34,0.994,0.013,0.095,0.034,S
26838,1.67,95.34,0.993,0.0,0.104,0.046,S
26888,1.72,144.44,0.992,-0.002,0.108,0.051,S
26938,1.77,144.94,0.991,-0.003,0.114,0.056,S
27004,1.836,158.96,0.99,-0.003,0.121,0.063,S
27058,1.89,114.07,0.989,0.0,0.128,0.068,S
27112,1.944,136.1,0.988,0.005,0.133,0.071,S
27163,1.995,136.22,0.987,0.01,0.138,0.072,S
27213,2.045,143.57,0.987,0.012,0.141,0.071,S
27264,2.096,151.51,0.987,0.012,0.144,0.069,S
27315,2.147,153.08,0.986,0.008,0.147,0.063,S
27365,2.197,145.94,0.986,0.006,0.149,0.06,S
27416,2.248,147.84,0.987,0.005,0.15,0.056,S
27470,2.302,125.42,0.987,0.006,0.151,0.052,S
27521,2.353,136.16,0.987,0.011,0.152,0.047,S
27571,2.403,158.63,0.987,0.014,0.153,0.045,S
27622,2.454,113.7,0.986,0.019,0.154,0.043,S
27673,2.505,115.8,0.986,0.023,0.156,0.042,S
27723,2.555,115.03,0.986,0.022,0.159,0.043,S
27774,2.606,109.07,0.985,0.018,0.162,0.045,S
27828,2.66,102.45,0.984,0.017,0.166,0.049,S
27879,2.711,117.03,0.983,0.021,0.172,0.054,S
27929,2.761,3786.41,0.982,0.022,0.176,0.059,S
27980,2.812,131.39,0.981,0.019,0.18,0.065,S
28031,2.863,126.38,0.979,0.014,0.186,0.076,S
28081,2.913,114.47,0.978,0.012,0.19,0.082,S
28132,2.964,144.94,0.976,0.013,0.194,0.086,S
28186,3.018,174.15,0.976,0.018,0.197,0.088,S
28237,3.069,174.15,0.975,0.023,0.2,0.086,S
28287,3.119,137.23,0.975,0.022,0.201,0.084,S
28337,3.169,137.23,0.975,0.018,0.202,0.081,S
28387,3.219,147.07,0.975,0.018,0.202,0.078,S
28437,3.269,98.85,0.975,0.02,0.204,0.076,S
28487,3.319,98.85,0.974,0.028,0.208,0.074,S
28537,3.369,136.6,0.974,0.032,0.21,0.074,S
28587,3.419,129.09,0.973,0.033,0.211,0.075,S
28637,3.469,136.16,0.973,0.033,0.212,0.077,S
28687,3.519,130.22,0.972,0.032,0.214,0.081,S
28737,3.569,157.42,0.972,0.033,0.216,0.083,S
28787,3.619,141.5,0.971,0.035,0.218,0.085,S
28837,3.669,117.03,0.97,0.034,0.221,0.087,S
28887,3.719,126.59,0.97,0.033,0.223,0.088,S
28938,3.77,131.32,0.969,0.03,0.224,0.089,S
28988,3.82,119.81,0.969,0.027,0.225,0.089,S
29038,3.87,129.82,0.969,0.022,0.224,0.091,S
29088,3.92,96.61,0.969,0.021,0.224,0.091,S
29138,3.97,134.76,0.97,0.02,0.223,0.093,S
29188,4.02,126.82,0.97,0.016,0.221,0.094,S
29238,4.07,127.38,0.97,0.011,0.218,0.096,S
29288,4.12,147.07,0.971,0.006,0.215,0.097,S
29338,4.17,160.19,0.972,0.005,0.21,0.098,S
29388,4.22,155.75,0.974,0.004,0.202,0.098,S
29438,4.27,122.21,0.976,0.0,0.192,0.098,S
29488,4.32,170.04,0.979,-0.004,0.176,0.098,S
29539,4.371,175.71,0.985,-0.01,0.137,0.099,S
29589,4.421,186.22,0.989,-0.008,0.107,0.1,S
29640,4.472,141.27,0.992,-0.002,0.072,0.1,S
29694,4.526,147.28,0.994,0.0,0.023,0.098,S
29745,4.577,65.51,0.994,0.009,-0.045,0.092,S
29795,4.627,71.52,0.991,0.017,-0.088,0.088,S
29846,4.678,95.22,0.987,0.025,-0.13,0.083,S
29897,4.729,124.04,0.977,0.038,-0.193,0.076,S
29947,4.779,115.37,0.969,0.047,-0.229,0.072,S
29998,4.83,102.68,0.96,0.054,-0.264,0.068,S
30052,4.884,116.87,0.949,0.059,-0.303,0.062,S
30103,4.935,131.66,0.932,0.069,-0.35,0.056,S
30153,4.985,164.47,0.921,0.077,-0.376,0.053,S
30204,5.036,184.12,0.91,0.087,-0.4,0.052,S
30255,5.087,170.43,0.894,0.099,-0.433,0.051,S
30305,5.137,154.02,0.884,0.107,-0.451,0.051,S
30356,5.188,166.64,0.874,0.114,-0.467,0.052,S
30410,5.242,157.02,0.864,0.124,-0.484,0.054,S
30461,5.293,193.34,0.851,0.135,-0.503,0.056,S
