AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,30326,0.0,0.999,0.0,0.0,0.0,29625,75.75,0.999,0.0,0.002,0.001
0.051,30377,-175.55,0.999,0.001,0.003,0.001,29676,94.34,0.999,0.0,0.005,0.003
0.1015,30428,-189.91,0.999,0.002,0.007,0.003,29726,105.29,0.999,0.0,0.007,0.004
0.152,30479,-198.03,0.999,0.001,0.01,0.004,29776,85.7,0.999,0.0,0.01,0.005
0.20600000000000002,30537,-193.79,0.999,0.001,0.013,0.004,29826,87.83,0.999,0.0,0.013,0.007
0.256,30587,-158.47,0.999,0.0,0.017,0.005,29876,91.34,0.999,0.0,0.015,0.009
0.306,30637,-199.78,0.999,-0.001,0.02,0.005,29926,84.54,0.999,0.0,0.018,0.01
0.356,30687,-219.74,0.999,-0.002,0.023,0.005,29976,84.54,0.999,0.001,0.022,0.012
0.406,30737,-173.56,0.999,-0.004,0.026,0.006,30026,66.31,0.999,0.002,0.024,0.013
0.456,30787,-204.16,0.999,-0.006,0.028,0.006,30076,78.09,0.999,0.002,0.027,0.014
0.5065,30838,-177.99,0.999,-0.008,0.03,0.006,30126,71.81,0.999,0.002,0.029,0.016
0.5609999999999999,30897,-168.54,0.999,-0.01,0.033,0.006,30176,78.86,0.999,0.003,0.033,0.018
0.611,30947,-198.96,0.999,-0.014,0.036,0.006,30226,100.85,0.999,0.004,0.035,0.019
0.661,30997,-181.06,0.998,-0.016,0.041,0.007,30276,72.08,0.998,0.005,0.038,0.021
0.7115,31047,-198.46,0.998,-0.019,0.045,0.008,30327,98.45,0.998,0.006,0.043,0.023
0.7615000000000001,31097,-227.95,0.998,-0.019,0.048,0.009,30377,94.34,0.998,0.006,0.045,0.025
0.8115,31147,-196.97,0.998,-0.02,0.052,0.01,30427,78.42,0.998,0.006,0.047,0.026
0.8625,31198,-173.65,0.998,-0.021,0.054,0.011,30478,87.87,0.998,0.006,0.05,0.027
