system_time,device_timestamp,device,command,force,qw,qx,qy,qz,roll,pitch,yaw,analog
2025-11-02 15:19:56.093,90934,CrutchHMI-BT-74d3,S,1045646.00,979.0000,-61.0000,164.0000,94.0000,-124.65,90.00,113.54,2048
2025-11-02 15:19:56.145,90984,CrutchHMI-BT-74d3,S,1060199.00,979.0000,-62.0000,166.0000,95.0000,-124.95,90.00,113.86,2048
2025-11-02 15:19:56.176,91034,CrutchHMI-BT-74d3,S,1060199.00,978.0000,-64.0000,169.0000,96.0000,-125.16,90.00,114.45,2048
2025-11-02 15:19:56.230,91084,CrutchHMI-BT-74d3,S,1060392.00,978.0000,-65.0000,170.0000,97.0000,-125.13,90.00,114.56,2048
2025-11-02 15:19:56.272,91134,CrutchHMI-BT-74d3,S,1051590.00,977.0000,-66.0000,172.0000,99.0000,-125.57,90.00,114.77,2048
2025-11-02 15:19:56.324,91184,CrutchHMI-BT-74d3,S,1056558.00,977.0000,-67.0000,174.0000,100.0000,-125.88,90.00,115.08,2048
2025-11-02 15:19:56.410,91234,CrutchHMI-BT-74d3,S,1049127.00,976.0000,-68.0000,176.0000,102.0000,-126.33,90.00,115.29,2048
2025-11-02 15:19:56.431,91284,CrutchHMI-BT-74d3,S,1046214.00,976.0000,-69.0000,178.0000,103.0000,-126.63,90.00,115.61,2048
2025-11-02 15:19:56.484,91334,CrutchHMI-BT-74d3,S,1046214.00,975.0000,-71.0000,181.0000,105.0000,-126.97,90.00,116.06,2048
2025-11-02 15:19:56.535,91384,CrutchHMI-BT-74d3,S,1045259.00,974.0000,-72.0000,183.0000,106.0000,-127.32,90.00,116.41,2048
2025-11-02 15:19:56.567,91435,CrutchHMI-BT-74d3,S,1035966.00,973.0000,-72.0000,185.0000,107.0000,-128.10,90.00,116.71,2048
2025-11-02 15:19:56.641,91485,CrutchHMI-BT-74d3,S,1026945.00,973.0000,-72.0000,187.0000,108.0000,-128.84,90.00,116.98,2048
2025-11-02 15:19:56.672,91535,CrutchHMI-BT-74d3,S,1016869.00,972.0000,-72.0000,190.0000,110.0000,-130.07,90.00,117.34,2048
2025-11-02 15:19:56.724,91585,CrutchHMI-BT-74d3,S,1041455.00,971.0000,-73.0000,193.0000,111.0000,-130.72,90.00,117.88,2048
2025-11-02 15:19:56.777,91635,CrutchHMI-BT-74d3,S,1059788.00,971.0000,-72.0000,196.0000,113.0000,-132.39,90.00,118.16,2048
2025-11-02 15:19:56.829,91685,CrutchHMI-BT-74d3,S,1079396.00,970.0000,-72.0000,201.0000,114.0000,-134.17,90.00,119.06,2048
2025-11-02 15:19:56.882,91735,CrutchHMI-BT-74d3,S,1111556.00,969.0000,-73.0000,204.0000,116.0000,-134.92,90.00,119.46,2048
2025-11-02 15:19:56.954,91806,CrutchHMI-BT-74d3,S,1108281.00,967.0000,-72.0000,209.0000,117.0000,-137.25,90.00,120.32,2048
2025-11-02 15:19:57.006,91860,CrutchHMI-BT-74d3,S,1039478.00,967.0000,-73.0000,213.0000,117.0000,-137.99,90.00,121.18,2048
2025-11-02 15:19:57.058,91914,CrutchHMI-BT-74d3,S,918823.00,966.0000,-76.0000,216.0000,118.0000,-137.57,90.00,121.83,2048
2025-11-02 15:19:57.100,91965,CrutchHMI-BT-74d3,S,820512.00,965.0000,-71.0000,220.0000,119.0000,-141.61,90.00,122.23,2048
2025-11-02 15:19:57.152,92015,CrutchHMI-BT-74d3,S,812565.00,964.0000,-71.0000,223.0000,120.0000,-142.73,90.00,122.71,2048
2025-11-02 15:19:57.204,92065,CrutchHMI-BT-74d3,S,812565.00,963.0000,-75.0000,227.0000,122.0000,-142.08,90.00,123.47,2048
2025-11-02 15:19:57.256,92115,CrutchHMI-BT-74d3,S,967371.00,962.0000,-74.0000,230.0000,123.0000,-143.69,90.00,123.88,2048
2025-11-02 15:19:57.309,92165,CrutchHMI-BT-74d3,S,1061616.00,961.0000,-73.0000,233.0000,125.0000,-145.46,90.00,124.14,2048
2025-11-02 15:19:57.362,92215,CrutchHMI-BT-74d3,S,1057906.00,960.0000,-76.0000,237.0000,126.0000,-145.17,90.00,124.98,2048
2025-11-02 15:19:57.436,92265,CrutchHMI-BT-74d3,S,999193.00,958.0000,-79.0000,241.0000,127.0000,-144.98,90.00,125.87,2048
2025-11-02 15:19:57.468,92315,CrutchHMI-BT-74d3,S,869751.00,957.0000,-82.0000,244.0000,127.0000,-144.37,90.00,126.69,2048
2025-11-02 15:19:57.520,92365,CrutchHMI-BT-74d3,S,869751.00,956.0000,-88.0000,249.0000,125.0000,-142.77,90.00,128.50,2048
2025-11-02 15:19:57.551,92415,CrutchHMI-BT-74d3,S,468502.00,954.0000,-101.0000,250.0000,127.0000,-138.37,90.00,129.35,2048
2025-11-02 15:19:57.602,92466,CrutchHMI-BT-74d3,S,233372.00,951.0000,-118.0000,252.0000,129.0000,-134.17,90.00,130.77,2048
2025-11-02 15:19:57.665,92516,CrutchHMI-BT-74d3,S,113412.00,950.0000,-122.0000,253.0000,129.0000,-133.46,90.00,131.34,2048
2025-11-02 15:19:57.718,92566,CrutchHMI-BT-74d3,S,17720.00,952.0000,-116.0000,249.0000,130.0000,-134.03,90.00,129.75,2048
2025-11-02 15:19:57.759,92616,CrutchHMI-BT-74d3,S,14974.00,955.0000,-107.0000,242.0000,131.0000,-134.81,90.00,127.35,2048
2025-11-02 15:19:57.822,92685,CrutchHMI-BT-74d3,S,14930.00,959.0000,-92.0000,229.0000,132.0000,-136.40,90.00,123.51,2048
2025-11-02 15:19:57.889,92739,CrutchHMI-BT-74d3,S,18507.00,962.0000,-85.0000,219.0000,132.0000,-136.23,90.00,121.10,2048
2025-11-02 15:19:57.941,92790,CrutchHMI-BT-74d3,S,13978.00,965.0000,-75.0000,211.0000,133.0000,-138.53,90.00,118.94,2048
2025-11-02 15:19:58.004,92840,CrutchHMI-BT-74d3,S,12959.00,966.0000,-64.0000,209.0000,132.0000,-144.38,90.00,118.16,2048
2025-11-02 15:19:58.025,92891,CrutchHMI-BT-74d3,S,17694.00,967.0000,-51.0000,211.0000,131.0000,-155.30,90.00,118.02,2048
2025-11-02 15:19:58.078,92941,CrutchHMI-BT-74d3,S,17694.00,966.0000,-37.0000,216.0000,128.0000,-170.43,90.00,118.59,2048
2025-11-02 15:19:58.130,92991,CrutchHMI-BT-74d3,S,13874.00,966.0000,-37.0000,220.0000,128.0000,-171.34,90.00,119.29,2048
2025-11-02 15:19:58.181,93041,CrutchHMI-BT-74d3,S,18002.00,965.0000,-41.0000,224.0000,128.0000,-168.14,90.00,120.21,2048
2025-11-02 15:19:58.233,93091,CrutchHMI-BT-74d3,S,12864.00,963.0000,-44.0000,231.0000,128.0000,-166.96,90.00,121.66,2048
2025-11-02 15:19:58.285,93141,CrutchHMI-BT-74d3,S,71908.00,962.0000,-41.0000,236.0000,129.0000,-171.09,90.00,122.30,2048
2025-11-02 15:19:58.348,93191,CrutchHMI-BT-74d3,S,265636.00,961.0000,-29.0000,242.0000,128.0000,177.01,90.00,122.87,2048
2025-11-02 15:19:58.379,93241,CrutchHMI-BT-74d3,S,265636.00,959.0000,-21.0000,250.0000,128.0000,169.33,90.00,123.87,2048
2025-11-02 15:19:58.431,93291,CrutchHMI-BT-74d3,S,408551.00,958.0000,-32.0000,251.0000,131.0000,178.01,90.00,124.31,2048
2025-11-02 15:19:58.483,93341,CrutchHMI-BT-74d3,S,573705.00,956.0000,-40.0000,254.0000,134.0000,-176.36,90.00,124.96,2048
2025-11-02 15:19:58.524,93391,CrutchHMI-BT-74d3,S,624025.00,955.0000,-42.0000,259.0000,135.0000,-175.73,90.00,125.85,2048
2025-11-02 15:19:58.575,93442,CrutchHMI-BT-74d3,S,682989.00,953.0000,-42.0000,264.0000,136.0000,-176.70,90.00,126.65,2048
2025-11-02 15:19:58.628,93492,CrutchHMI-BT-74d3,S,767026.00,952.0000,-40.0000,270.0000,136.0000,-178.95,90.00,127.60,2048
2025-11-02 15:19:58.680,93542,CrutchHMI-BT-74d3,S,-9235809.00,950.0000,-38.0000,276.0000,136.0000,178.94,90.00,128.57,2048
2025-11-02 15:19:58.743,93592,CrutchHMI-BT-74d3,S,822165.00,948.0000,-39.0000,281.0000,137.0000,178.91,90.00,129.41,2048
2025-11-02 15:19:58.806,93643,CrutchHMI-BT-74d3,S,844576.00,947.0000,-41.0000,285.0000,138.0000,179.65,90.00,130.12,2048
