system_time,device_timestamp,device,command,force,qw,qx,qy,qz,roll,pitch,yaw,analog
2025-11-02 15:19:53.927,88476,CrutchHMI-BT-7036,S,35742.00,811.0000,-83.0000,570.0000,93.0000,-177.53,90.00,175.18,2048
2025-11-02 15:19:53.991,88527,CrutchHMI-BT-7036,S,39623.00,810.0000,-79.0000,572.0000,91.0000,-177.95,90.00,175.14,2048
2025-11-02 15:19:54.043,88586,CrutchHMI-BT-7036,S,39175.00,809.0000,-79.0000,574.0000,90.0000,-177.91,90.00,175.35,2048
2025-11-02 15:19:54.085,88636,CrutchHMI-BT-7036,S,38312.00,808.0000,-84.0000,575.0000,90.0000,-177.27,90.00,175.88,2048
2025-11-02 15:19:54.137,88686,CrutchHMI-BT-7036,S,42079.00,805.0000,-93.0000,577.0000,93.0000,-176.45,90.00,176.45,2048
2025-11-02 15:19:54.181,88736,CrutchHMI-BT-7036,S,37852.00,803.0000,-103.0000,577.0000,97.0000,-175.55,90.00,176.91,2048
2025-11-02 15:19:54.448,88786,CrutchHMI-BT-7036,S,39856.00,802.0000,-105.0000,578.0000,99.0000,-175.53,90.00,176.89,2048
2025-11-02 15:19:54.448,88836,CrutchHMI-BT-7036,S,37340.00,801.0000,-102.0000,580.0000,97.0000,-175.80,90.00,176.93,2048
2025-11-02 15:19:54.449,88887,CrutchHMI-BT-7036,S,32310.00,800.0000,-103.0000,581.0000,98.0000,-175.82,90.00,176.94,2048
2025-11-02 15:19:54.449,88945,CrutchHMI-BT-7036,S,37538.00,799.0000,-106.0000,582.0000,102.0000,-175.86,90.00,176.75,2048
2025-11-02 15:19:54.449,88995,CrutchHMI-BT-7036,S,38935.00,798.0000,-109.0000,582.0000,105.0000,-175.78,90.00,176.67,2048
2025-11-02 15:19:54.502,89045,CrutchHMI-BT-7036,S,40582.00,797.0000,-110.0000,583.0000,108.0000,-175.99,90.00,176.43,2048
2025-11-02 15:19:54.543,89095,CrutchHMI-BT-7036,S,39607.00,795.0000,-113.0000,584.0000,112.0000,-176.05,90.00,176.27,2048
