Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
35900,0.0,135.89,0.999,0.0,-0.002,0.001,S
35950,0.05,152.52,0.999,0.0,-0.005,0.003,S
36000,0.1,152.52,0.999,0.001,-0.008,0.005,S
36050,0.15,157.25,0.999,0.001,-0.011,0.007,S
36101,0.201,170.81,0.999,0.001,-0.013,0.008,S
36151,0.251,170.81,0.999,0.002,-0.016,0.01,S
36201,0.301,151.85,0.999,0.002,-0.018,0.011,S
36251,0.351,188.73,0.999,0.002,-0.02,0.012,S
36301,0.401,205.31,0.999,0.002,-0.023,0.013,S
36351,0.451,153.35,0.999,0.003,-0.025,0.015,S
36401,0.501,185.95,0.999,0.003,-0.027,0.015,S
36451,0.551,200.41,0.999,0.002,-0.03,0.016,S
36502,0.602,202.81,0.999,0.002,-0.033,0.018,S
36552,0.652,204.64,0.999,0.002,-0.035,0.019,S
36602,0.702,184.12,0.999,0.002,-0.038,0.02,S
36653,0.753,184.12,0.998,0.001,-0.042,0.022,S
36703,0.803,233.01,0.998,0.002,-0.045,0.024,S
36753,0.853,249.53,0.998,0.002,-0.047,0.025,S
36819,0.919,172.94,0.998,0.001,-0.05,0.027,S
36873,0.973,200.85,0.998,0.002,-0.053,0.028,S
36927,1.027,225.77,0.997,0.002,-0.055,0.03,S
36978,1.078,191.0,0.997,0.003,-0.058,0.031,S
37028,1.128,227.0,0.997,0.003,-0.06,0.033,S
37078,1.178,227.0,0.997,0.004,-0.063,0.035,S
37128,1.228,164.86,0.997,0.004,-0.065,0.036,S
37178,1.278,224.94,0.996,0.004,-0.067,0.037,S
37228,1.328,224.94,0.996,0.005,-0.071,0.04,S
37278,1.378,204.81,0.996,0.006,-0.073,0.041,S
37328,1.428,197.57,0.996,0.006,-0.075,0.042,S
37378,1.478,170.37,0.995,0.006,-0.078,0.044,S
37428,1.528,189.73,0.995,0.007,-0.081,0.046,S
37479,1.579,212.76,0.995,0.007,-0.084,0.047,S
37529,1.629,209.65,0.995,0.008,-0.086,0.048,S
37579,1.679,194.63,0.994,0.008,-0.089,0.05,S
37630,1.73,230.11,0.994,0.009,-0.092,0.051,S
37680,1.78,188.96,0.994,0.009,-0.094,0.052,S
37730,1.83,207.52,0.993,0.009,-0.095,0.053,S
37780,1.88,207.52,0.993,0.009,-0.098,0.055,S
37831,1.931,201.41,0.993,0.009,-0.1,0.056,S
37881,1.981,183.95,0.993,0.009,-0.102,0.057,S
37931,2.031,233.55,0.992,0.009,-0.105,0.058,S
37982,2.082,217.6,0.992,0.008,-0.107,0.059,S
38032,2.132,197.13,0.992,0.008,-0.109,0.06,S
38082,2.182,208.92,0.991,0.008,-0.112,0.061,S
38132,2.232,189.06,0.991,0.008,-0.114,0.062,S
38183,2.283,218.99,0.991,0.009,-0.117,0.063,S
38233,2.333,218.99,0.99,0.009,-0.121,0.064,S
38283,2.383,225.83,0.99,0.009,-0.123,0.064,S
38333,2.433,172.71,0.989,0.01,-0.125,0.064,S
38384,2.484,198.24,0.989,0.011,-0.127,0.065,S
38434,2.534,178.71,0.989,0.012,-0.129,0.065,S
38484,2.584,190.67,0.989,0.012,-0.131,0.065,S
38534,2.634,203.85,0.988,0.012,-0.132,0.065,S
38585,2.685,685.67,0.988,0.012,-0.134,0.066,S
38635,2.735,192.23,0.988,0.012,-0.136,0.066,S
38685,2.785,204.25,0.988,0.012,-0.137,0.067,S
38736,2.836,185.72,0.987,0.012,-0.138,0.068,S
38786,2.886,184.99,0.987,0.013,-0.14,0.07,S
38836,2.936,201.68,0.987,0.013,-0.141,0.072,S
38886,2.986,202.14,0.986,0.014,-0.143,0.074,S
38937,3.037,222.37,0.986,0.015,-0.145,0.077,S
38987,3.087,183.82,0.985,0.016,-0.147,0.08,S
39037,3.137,190.96,0.985,0.016,-0.149,0.082,S
39088,3.188,222.87,0.984,0.018,-0.151,0.085,S
39138,3.238,198.63,0.983,0.019,-0.153,0.088,S
39188,3.288,216.09,0.983,0.02,-0.155,0.09,S
39238,3.338,216.09,0.982,0.021,-0.158,0.093,S
39288,3.388,195.13,0.982,0.021,-0.159,0.094,S
39339,3.439,215.82,0.981,0.022,-0.161,0.096,S
39389,3.489,215.82,0.981,0.022,-0.164,0.098,S
39439,3.539,199.57,0.98,0.023,-0.165,0.099,S
39489,3.589,183.49,0.98,0.023,-0.166,0.101,S
39540,3.64,204.98,0.98,0.023,-0.168,0.102,S
39590,3.69,205.02,0.979,0.024,-0.169,0.104,S
39640,3.74,180.15,0.979,0.025,-0.171,0.105,S
39690,3.79,212.65,0.978,0.025,-0.172,0.107,S
39741,3.841,184.99,0.978,0.026,-0.174,0.109,S
39791,3.891,209.69,0.977,0.026,-0.175,0.111,S
39841,3.941,211.92,0.977,0.027,-0.177,0.113,S
39892,3.992,203.91,0.976,0.028,-0.178,0.114,S
39942,4.042,194.13,0.976,0.029,-0.18,0.116,S
39992,4.092,197.3,0.975,0.03,-0.181,0.118,S
40063,4.163,170.64,0.975,0.031,-0.183,0.121,S
40117,4.217,199.18,0.974,0.032,-0.184,0.122,S
40167,4.267,199.18,0.973,0.033,-0.186,0.125,S
40217,4.317,195.74,0.973,0.034,-0.187,0.127,S
40267,4.367,172.81,0.972,0.035,-0.188,0.129,S
40317,4.417,172.81,0.972,0.035,-0.189,0.13,S
40367,4.467,223.67,0.971,0.036,-0.191,0.132,S
40417,4.517,191.46,0.971,0.036,-0.192,0.133,S
40467,4.567,215.53,0.97,0.036,-0.194,0.134,S
40517,4.617,249.63,0.97,0.037,-0.195,0.136,S
40567,4.667,190.83,0.969,0.037,-0.197,0.137,S
40618,4.718,210.36,0.969,0.038,-0.199,0.138,S
40670,4.77,169.77,0.968,0.039,-0.201,0.139,S
40721,4.821,198.84,0.967,0.039,-0.204,0.14,S
40771,4.871,165.47,0.967,0.04,-0.206,0.142,S
40822,4.922,232.72,0.966,0.041,-0.208,0.143,S
40872,4.972,179.38,0.965,0.042,-0.211,0.144,S
40922,5.022,218.49,0.965,0.042,-0.213,0.145,S
40974,5.074,177.28,0.964,0.043,-0.215,0.146,S
41028,5.128,181.38,0.963,0.044,-0.217,0.148,S
41079,5.179,203.81,0.962,0.045,-0.219,0.149,S
41129,5.229,239.73,0.962,0.046,-0.22,0.15,S
41179,5.279,239.73,0.961,0.047,-0.223,0.152,S
41229,5.329,155.46,0.96,0.048,-0.224,0.154,S
41279,5.379,147.91,0.96,0.048,-0.226,0.155,S
41329,5.429,147.91,0.959,0.049,-0.228,0.157,S
41379,5.479,110.74,0.958,0.049,-0.229,0.159,S
41429,5.529,118.74,0.958,0.049,-0.231,0.16,S
41479,5.579,116.7,0.957,0.05,-0.232,0.161,S
41529,5.629,80.26,0.957,0.05,-0.233,0.162,S
41579,5.679,77.09,0.956,0.05,-0.235,0.162,S
41629,5.729,63.97,0.956,0.05,-0.236,0.163,S
41679,5.779,70.98,0.955,0.051,-0.238,0.163,S
41729,5.829,80.09,0.955,0.051,-0.239,0.163,S
41780,5.88,48.12,0.955,0.052,-0.241,0.163,S
41830,5.93,53.96,0.954,0.052,-0.243,0.164,S
41880,5.98,35.87,0.953,0.053,-0.245,0.164,S
41930,6.03,114.91,0.953,0.054,-0.246,0.165,S
41980,6.08,114.91,0.952,0.055,-0.25,0.167,S
42030,6.13,81.26,0.951,0.056,-0.251,0.169,S
42080,6.18,63.07,0.95,0.057,-0.253,0.17,S
42146,6.246,66.18,0.949,0.058,-0.255,0.173,S
42200,6.3,71.19,0.948,0.059,-0.257,0.175,S
42254,6.354,66.18,0.947,0.06,-0.258,0.178,S
42305,6.405,66.64,0.946,0.061,-0.26,0.181,S
42355,6.455,63.84,0.945,0.062,-0.261,0.183,S
42405,6.505,63.84,0.944,0.063,-0.262,0.186,S
42455,6.555,41.11,0.944,0.064,-0.262,0.188,S
42505,6.605,40.88,0.943,0.064,-0.263,0.19,S
42555,6.655,40.88,0.942,0.065,-0.263,0.194,S
42605,6.705,44.55,0.941,0.066,-0.264,0.196,S
42655,6.755,59.46,0.941,0.067,-0.265,0.198,S
42705,6.805,21.25,0.94,0.067,-0.265,0.2,S
42755,6.855,77.32,0.939,0.069,-0.266,0.203,S
42806,6.906,59.57,0.938,0.069,-0.268,0.205,S
42856,6.956,59.73,0.937,0.07,-0.269,0.206,S
42906,7.006,76.48,0.936,0.071,-0.27,0.208,S
