Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
557675,0.0,-4.27,0.999,0.0,0.003,0.001,S
557725,0.05,9.74,0.999,0.0,0.007,0.003,S
557775,0.1,27.26,0.999,0.0,0.01,0.005,S
557825,0.15,-23.8,0.999,0.0,0.013,0.006,S
557876,0.201,24.46,0.999,0.0,0.016,0.009,S
557926,0.251,11.28,0.999,0.0,0.018,0.01,S
557976,0.301,-13.34,0.999,0.0,0.02,0.012,S
558026,0.351,2.73,0.999,0.0,0.023,0.014,S
558076,0.401,-16.79,0.999,-0.001,0.026,0.016,S
558126,0.451,-15.58,0.999,-0.001,0.028,0.017,S
558176,0.501,23.13,0.999,0.0,0.032,0.019,S
558226,0.551,-15.24,0.999,0.0,0.034,0.021,S
558277,0.602,-26.13,0.999,0.0,0.037,0.023,S
558327,0.652,-26.13,0.998,0.0,0.041,0.025,S
558377,0.702,9.94,0.998,0.001,0.044,0.026,S
558427,0.752,23.19,0.998,0.002,0.046,0.028,S
558491,0.816,7.17,0.998,0.004,0.049,0.029,S
558545,0.87,18.62,0.998,0.004,0.051,0.03,S
558596,0.921,13.01,0.998,0.001,0.053,0.031,S
558646,0.971,-8.44,0.997,0.0,0.055,0.031,S
558697,1.022,-21.79,0.997,0.0,0.056,0.032,S
558747,1.072,-21.79,0.997,-0.001,0.059,0.034,S
558797,1.122,-24.86,0.997,-0.002,0.061,0.035,S
558847,1.172,27.42,0.997,-0.002,0.063,0.036,S
558897,1.222,27.42,0.996,-0.001,0.066,0.039,S
558947,1.272,15.35,0.996,0.0,0.068,0.041,S
558997,1.322,-7.67,0.996,0.0,0.071,0.042,S
559047,1.372,14.24,0.996,0.002,0.074,0.044,S
559097,1.422,24.46,0.995,0.003,0.078,0.046,S
559147,1.472,13.34,0.995,0.002,0.082,0.047,S
559218,1.543,0.33,0.994,0.001,0.087,0.049,S
559272,1.597,16.68,0.994,0.0,0.091,0.05,S
559326,1.651,8.34,0.994,0.0,0.094,0.052,S
